paper_id,year,title,primary_accession_or_data,program_inventory,data_lineage_audit,donor_pseudobulk,leave_study_out,leave_etiology_out,scrna_to_snrna,spatial_validation,matched_random_modules,exact_duplicate,relevance_and_boundary
Ramachandran2019,2019,Resolving the fibrotic niche of human liver cirrhosis at single-cell level,GSE136103,no,no,no,no,no,no,imaging not transcriptomic,no,no,Discovery source for scar macrophage/endothelial/mesenchymal programs; cannot externally validate its own programs
Wang2021,2021,Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis,E-MTAB-10553,no,no,no,no,no,no,no,no,no,Six newly profiled human donors are normal; processed RDS also incorporates GSE136103
Zhang2021,2021,Therapeutic landscape of targeting epigenetically maladapted vascular niche in fibrotic liver,GSE181483,no,no,no,no,no,no,no,no,no,Four human donors only plus animal treatment experiments
Andrews2022,2022,Single-cell single-nucleus and spatial RNA sequencing of the human liver identifies cholangiocyte and mesenchymal heterogeneity,GSE185477,no,partial,no,no,no,paired assay comparison,healthy Visium,no,no,Healthy method-comparison baseline rather than disease transportability benchmark
Bai2023,2023,Single-cell landscape of immune cells in human livers affected by HBV-related cirrhosis,PRJNA833766 plus reused HRA cohorts,no,partial,no,no,no,no,no,no,no,Immune-only HBV atlas; only four newly generated donors
Gribben2024,2024,Acquisition of epithelial plasticity in human chronic liver disease,GSE202379,no,partial,no,no,no,no,no,no,no,Large donor-resolved MASLD snRNA resource; primary focus is epithelial plasticity
Watson2025,2025,Single-cell-resolution atlas of the spatial organization of the healthy and fibrotic human liver,GSE210077/HCA/Dryad,no,partial,no,no,no,within-study snRNA/MERFISH,yes,no,no,Matched six-donor spatial resource; targeted MERFISH panel poorly covers frozen Ramachandran programs
Kim2025,2025,Multi-modal analysis of human hepatic stellate cells identifies novel therapeutic targets for MASLD,GSE244832,one HSC program,no,no,no,no,snRNA only,no,no,no,HSC discovery study; independent for Ramachandran programs but not for its own hA1 program
Hu2026,2026,Selective targeting of endothelial and perivascular angiocrine ROCK2 treats liver fibrosis,GSE290642,no,partial,no,no,no,no,no,no,no,Independent fibrosis-spectrum scRNA resource; only three F4 donors and etiology is not encoded in GEO
Zheng2026,2026,Progressive suppression of regulated cell death defines terminal macrophage states in liver cirrhosis,"GSE136103; GSE181483; E-MTAB-10553",no,no,no,no,no,no,no,no,no,Closest competitor; scVI/cell-level Wilcoxon/LASSO-ROC study; E-MTAB object reuses GSE136103 so the 31-sample framing is not 31 independent donors

