program_id,paper_id,program_name,cell_lineage,gene_symbol,direction,discovery_dataset,discovery_assay,disease_etiology,source_table,source_page,verified,data_lineage_class,notes
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,FCGR1A,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,TNFAIP8L2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,TMCO1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,MGAT4A,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,FN1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,CCR2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,STAB1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,CLDN1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,LINC01094,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,ARHGAP24,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,SPARCL1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
