program_id,program_name,cell_lineage,n_genes,discovery_dataset,gse136103_lineage,gse181483_lineage,gse202379_lineage,gse210077_watson_lineage,gse244832_lineage,gse290642_lineage
RAM2019_MAC_SIG_A_SAM,scar-associated macrophage metagene A,macrophage_monocyte,66,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_MAC_SIG_B_SAM,scar-associated macrophage metagene B,macrophage_monocyte,679,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_MAC_SIG_C_KC,Kupffer-cell metagene C,macrophage_monocyte,332,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_MAC_SIG_D_TMO,tissue-monocyte metagene D,macrophage_monocyte,330,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_MAC_SIG_E_TMO,tissue-monocyte metagene E,macrophage_monocyte,269,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_MAC_SIG_F_CDC1,cDC1 metagene F,macrophage_monocyte,130,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_ENDO_1,endothelial cluster 1 / healthy LSEC marker program,endothelial,80,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_ENDO_2,endothelial cluster 2 marker program,endothelial,45,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_ENDO_3,endothelial cluster 3 marker program,endothelial,39,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
RAM2019_ENDO_4,endothelial cluster 4 marker program,endothelial,88,GSE136103,REUSED/internal only,INDEPENDENT; small,INDEPENDENT snRNA candidate,INDEPENDENT snRNA/spatial candidate,INDEPENDENT except own hA1 program,INDEPENDENT fibrosis-spectrum candidate
