dataset_id,publication,pmid,doi,repository,accession,assay,tissue,cell_enrichment,disease,etiology,fibrosis_stage,compensation_status,n_reported_samples,n_independent_donors,donor_id_available,processed_counts_available,original_annotation_available,spatial_data_available,program_discovery_source,primary_validation_candidate,verified,limitations
GSE136103,"Ramachandran et al., Nature 2019",31597160,10.1038/s41586-019-1631-3,GEO,GSE136103,scRNA-seq,human liver non-parenchymal cells,CD45+ and CD45- FACS fractions,healthy and cirrhosis,NAFLD; alcohol; PBC,cirrhosis,not reported,20,10,yes,yes,yes,no,yes,internal recovery only,yes,"5 healthy/5 cirrhotic; macrophages 5+5, endothelial and mesenchymal 4+3; technical fractions must be collapsed; discovery leakage prohibited"
GSE181483_human,"Zhang et al., Science Translational Medicine 2021",34613814,10.1126/scitranslmed.abd1206,GEO,GSE181483,scRNA-seq,human liver non-parenchymal cells,NPC,control and cirrhosis,not recoverable from GEO metadata,cirrhosis,not reported,4,4,sample-level only,yes,partial,no,no,directional support only,yes,only 2 controls and 2 cirrhosis donors; remaining GEO samples are pig; not suitable for standalone inference
E-MTAB-10553_unique,"Wang et al., Scientific Reports 2021",34588551,10.1038/s41598-021-98806-y,ArrayExpress/BioStudies,E-MTAB-10553,scRNA-seq,human liver non-parenchymal cells,hepatic NPC,normal only,none,none,not applicable,6,6,yes,yes,yes,no,no,healthy assay baseline only,yes,all six newly profiled donors are normal; processed RDS also embeds public GSE136103 cells and must not be treated as an independent disease cohort
GSE202379,"Gribben et al., Nature 2024",38778114,10.1038/s41586-024-07465-2,GEO,GSE202379,snRNA-seq,whole human liver,nuclei; no lineage enrichment,healthy; NAFLD; NASH; NASH cirrhosis; end-stage liver disease,metabolic; end-stage etiology not fully encoded in GEO,SAF F0-F4 plus end-stage,not reported,59,47,yes,yes,yes,no,no,yes,yes,59 regions/samples are 47 donors; repeated lobes from PHL1 and end-stage donors must be collapsed; spectrum includes non-cirrhotic fibrosis
GSE210077_Watson6,"Watson et al., Nature Communications 2025",39747812,10.1038/s41467-024-55325-4,GEO/HCA/Dryad,GSE210077; HCA 64809a52-f703-4aec-b3a5-eca808a971d0,snRNA-seq + MERFISH,whole human liver,nuclei and intact tissue imaging,3 healthy; 3 fibrotic,not reported,healthy; F2; F3; F4,not reported,6,6,yes,yes,yes,yes,no,spatial and cross-assay support,yes,fixed six-donor Watson subset only; spatial donors are matched to snRNA donors; disease group contains one F4 donor
GSE210077_full_series,evolving GEO series; multiple linked studies,39747812,10.1038/s41467-024-55325-4,GEO,GSE210077,snRNA-seq,whole human liver,nuclei,mostly normal plus F2/F3/F4 fibrosis,not reported,normal; F2; F3; F4,not reported,40,40,sample-as-donor for GEO entries,yes,yes for linked processed objects,only Watson six-donor subset,partly,no as one undifferentiated cohort,yes,GEO has 40 records named Liver-1 through Liver-41 with missing numbers; later additions belong to other studies; roles must be subset-specific
GSE244832,"Kim et al., Journal of Hepatology 2025",39522884,10.1016/j.jhep.2024.10.044,GEO,GSE244832,snRNA-seq + snATAC-seq,whole human liver,nuclei,normal; MASL; MASH,metabolic,MASH group-level F2-F4; donor-specific stage unavailable,not reported,18,18,yes,yes,cluster annotation reconstructed from author markers,no,yes for hA1 HSC program,sensitivity only,yes,"Author hLIVER_metadata.csv resolves 5 NORMAL, 4 MASL and 9 MASH donors; MASH spans F2-F4 and cannot be relabelled cirrhosis or F3-F4; hA1 program cannot be externally validated in this same dataset"
GSE290642_human,"Hu et al., Cell 2026",41794026,10.1016/j.cell.2026.02.001,GEO,GSE290642,scRNA-seq,human liver non-parenchymal cells,NPC,F0 controls and F1-F4 fibrosis,not encoded in GEO,F0-F4,not reported,24,24,sample-level only,yes,not separately deposited,no,yes for ROCK2 angiocrine states,fibrosis-spectrum sensitivity,yes,21 fibrosis donors but only three F4; most are F1/F1-2; etiology unresolved; 12 pig samples excluded
PRJNA833766_new4,"Bai et al., JHEP Reports 2023",37867598,10.1016/j.jhepr.2023.100883,SRA,PRJNA833766,scRNA-seq,human liver,CD45+ FACS,2 healthy; 2 HBV cirrhosis newly generated,HBV,cirrhosis,compensated/decompensated labels require run-table recovery,4,4,BioSample,no; raw only,publication-integrated object not confirmed,no,no,macrophage directional only,yes,raw data only; published 6 healthy/5 HBV total reuses HRA001730 and HRA000069; only four donors are new; immune-only
GSE185477,"Andrews et al., Hepatology Communications 2022",34792289,10.1002/hep4.1854,GEO,GSE185477,paired scRNA-seq and snRNA-seq; Visium,healthy human liver,whole tissue/NPC protocol comparison,healthy only,none,none,not applicable,5,5,yes,yes,yes,yes,no,assay baseline only,yes,four paired sc/sn donors plus a separate spatial donor; no disease contrast
ALC_HBV_2023_access_pending,"Zhang et al., Frontiers in Endocrinology 2023",36817578,10.3389/fendo.2023.1132085,publication supplement; accession unresolved,none recovered,scRNA-seq,human liver NPC,NPC; hepatocyte depletion,3 healthy; 2 alcohol cirrhosis; 3 HBV cirrhosis,alcohol; HBV,cirrhosis,not reported,8,8,publication-level,not publicly recovered,figures/supplement only,no,no,access pending,yes,paper examined 15 tissue specimens but scRNA used only eight; public expression object/accession not recovered in Phase 0
GSE256398,"Sugimoto et al., Nature 2025",40074890,10.1038/s41586-025-08677-w,GEO,GSE256398,snRNA-seq,whole human liver,nuclei,healthy; MASLD F0; MASH fibrosis; MASH cirrhosis; alcohol cirrhosis; alcohol hepatitis,metabolic; alcohol,F0; F2-3/F3; cirrhosis; alcohol hepatitis,not reported,26,26,yes,yes,broad lineages reconstructed from author cluster identities,no,no,post-lock external enrichment,yes,"Six healthy, three MASLD F0, four MASH fibrosis, four MASH cirrhosis, four alcohol cirrhosis, and five alcohol hepatitis donors; reconstructed broad lineages; post-lock sensitivity only"
