relative_path,bytes,sha256,acquired_or_generated,phase0_role,tracked_by_git
data/external/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_scrna_GSE136103/GSM4041150_healthy1_cd45+_barcodes.tsv.gz,8560,9a2e6d0a4ec84ff66a960dfe7cc652a560d1b4d69b584ae0141a2ff6c1374900,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_scrna_GSE136103/GSM4041150_healthy1_cd45+_genes.tsv.gz,264798,fd9d2f2f9f89c6c329ef1277578f149bbe40a41dae9dffe0698e491caba637ac,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_scrna_GSE136103/GSM4041150_healthy1_cd45+_matrix.mtx.gz,6586399,22fe490cf1e418cb939f4504f70196659695d2864ecb5021429f1b1dfd9da7d9,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_scrna_GSE290642/GSM8818766_T0001_NPC.tar.gz,3596288,46f5f8820c44b86a8d1a1217c64d5624bddeb1490534025abddd4fa2e2c8dce8,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_snrna_GSE210077/GSM6416560_6854-9_barcodes.tsv.gz,1460739,34777d6016d2bac73a5db6c49a403ad8f4df6c09e358742a1c2b34637d0130f2,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_snrna_GSE210077/GSM6416560_6854-9_features.tsv.gz,294478,a698fb66875f9f5c2c19a83bd95193d2cef39168436495505041941b55c24a3f,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_snrna_GSE210077/GSM6416560_6854-9_matrix.mtx.gz,6250294,277096ec12204cd01c6b8dc9483a8ab9175618cad60902e13e9a97e8a0b5ef9f,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_spatial_GSE210077/cell_properties_healthy_diseased_merfish.csv,1372160,120b50788128944643138aa944e72723e8738383af19a43bb5b3ae27388fe619,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_spatial_GSE210077/cell_properties_healthy_diseased_merfish.head_1MiB.csv,1048576,80797dab70db530400bfdfd0a162746d5f5a167bcce7491112d639e16ea70ce0,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_spatial_GSE210077/FibroticLiverWatsonMERFISH_metadata_24-02-2025.xlsx,64118,97cad10df5a735292d173d25c7a48f102dd1baad44967d29c0c841ecf9351a63,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/external/smoke_spatial_GSE210077/gene_names_healthy_diseased_merfish.csv,2339,3ac72bb67aeac0621a732b58ad30c49e36bd14bb5a0ad67c65a69960f69e1c8c,2026-08-30,smoke object,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/E-MTAB-10553.idf.txt,5872,955d0dce9e1db3b7d710cbb965af82722c2ad40b9d5781366736fd9c13cd8a98,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/E-MTAB-10553.sdrf.txt,110076,2a71ca77ed37871a85d306d42680903028c1bdaaa1311c22031977fdfa76366f,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/E-MTAB-10553_api.json,20337,7858872339beccbd4c5a7d1f8b52f70d351444eb2388cfef5b2bebae8dffb38e,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE136103_family.xml,70526,d97536bf179a6e29f113ca14773f1be16bb7eee7180bc742cfca203d04304f1c,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE136103_family.xml.tgz,4496,fb6bb159a57a18b72acd392eed948154baaefed218544a9ba309a9901beac997,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE168933_family.xml,362310,150e4e1c4846bcc9bfc369fd40bf363deea52dac2ed135ac93db8c3bb26a73dc,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE168933_family.xml.tgz,9195,14ea47c88b36afaa30158d3aa76d5d1a17695bae8387dd1de652f2585ff0d744,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE181483_family.xml,32125,d0834036fa8bceb992bd1c5c794523ae5cbd3ee82fa97553e248d04205d6d008,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE181483_family.xml.tgz,3242,756ba511de9bc62c0cfa80dca8c49ac14f63d19dcc9dda4f2f063965ba1bcb85,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE181483_filelist.txt,1095,b076e4805e7173cce979ec0a0f549d318ed0a334f7a98b710c0d7a5ee94050a9,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE202379_family.xml,266579,209257c653516106c70ebb48261965fbbda46b6fdb23dc0775ae3b746bd1892d,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE202379_family.xml.tgz,8792,5a5b104f04cfb395c3eb0818180b9d54607877048abf045739aa2c1f21822bc0,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE210077_family.xml,147522,a5eae3cfee172ae9f517c78ffbf9257b29239b9ac3d678147ed4ea0958d5b037,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE210077_family.xml.tgz,5687,a15f552640707423976582d10bd731a04f5e678c7d6dd921b6d562d37da229b4,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE210077_filelist.txt,8642,b101d38c201be8e5d47da4f11ea5b79f2f56db5ae08adcbc289cfd1c4f044907,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE219158_family.xml,51784,8f2835c66d85c57eee947033fc300ebad11dde830400fb39dd9a17b6bd2f1483,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE219158_family.xml.tgz,4495,0842bfd220ec856085df8577b5abe7d3ee38130be29dcf60fe17c23031749d74,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE244832_family.xml,205089,9d4f9be8df4c4ac4a71fc567a75daf7c3a9ddbae5139e19744f6f9c715211b63,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE244832_family.xml.tgz,7478,da0ed950fa712a447d6c715bf2ef7c5bc3481846767966c281323c7918e3a5be,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE290642_family.xml,95914,38c9d33fa86c176c293e443da53defbbe4b38fa5a20cfefaa0865d4385c8350b,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE290642_family.xml.tgz,4791,00e97b336440e45389fce09c75725569bddf2ac8b454c2ed8c0ff37bb3109287,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/GSE290642_filelist.txt,2493,2096dcf055d043e9fceb4c0a008b43ecdb82bec24100e03e782e88a6a47b7d24,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/HCA_64809a52_files.json,247439,5f6c2c6a3098f86190928ffc7b73dc72bfddb0b158ee0a036ac8139f3d22be0f,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC10412637_fulltext.xml,183578,6fbda0e353f9277f8c76de54e25a95d26c06fcb04c3bd99d1828cebc679ad53f,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC10412637_supplementary/42003_2023_5193_MOESM1_ESM.pdf,5231510,c39265b232daf10c77a16eb09a6cf8836c34fa0fdfeb2d9f293d9d33f3c6aeeb,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC10412637_supplementary/42003_2023_5193_MOESM2_ESM.pdf,90915,7c9092f4154c5b601dace375807ca1675b9099ba715174349d10685175ca97da,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC10412637_supplementary/42003_2023_5193_MOESM3_ESM.xls,5729280,ce1c15bc54d72d3787a86bc782dbd00b30dde8a0efc1d8aa50731f5132f63328,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC10412637_supplementary/42003_2023_5193_MOESM4_ESM.pdf,2887766,cdc4659609e6d483e4b36bc20cc601cb562c909b39fd30db7b2a9a687a50ca93,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC10412637_supplementary.zip,10723913,dd77e3cb3da6fbf76aa259181d1906c8bc69d8d1a845325869c4d8606e4bb9e1,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11153150_fulltext.xml,167525,6c3d354d413dd8f8f41c3f3cb4d13cc0675d169bf92cd87b21efba8e94ff6950,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_fulltext.xml,182014,203bc5abe3d76e77fe33b7fd3c32842c344e9a279fd35cb6d3487946f120493f,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM10_ESM.pdf,4357575,b805a4e97b6f4b34e2026cb1366dff815a8c059b21ecff50a83f5964a30a99e1,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM11_ESM.xlsx,2922301,e163e8c2536d2d175e8101e5f4a0418ff1714c7787f76aeebf184181b5c6f49a,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM1_ESM.pdf,4968793,cc4531ad5f2944c55c68c8fd6dcb5c4980f5136924ff631ab73df35085e14256,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM2_ESM.pdf,3229521,ef87f1012a701f368bf4e32f5f2757f533af60507fad4adef09b31b89c932e43,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM3_ESM.pdf,124489,cb672acbf11301a729c9d36d4e59005eb7427e8ad0e2111154e982bce5d0b817,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM4_ESM.xlsx,1192275,bfca3e3334d0b75f91f4d11a0380d706485d7a0fd9b2c2214f4fa10bd3e5a742,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM5_ESM.xlsx,44562098,27579371f7f4555bb7c9470de17194ba3da3ae13bd4279fd94837baffda7b847,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM6_ESM.xlsx,486918,7c3fe0d00c2f583c78dfcde2410702cacc4518e692750f6ae9ecb22d35d457b5,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM7_ESM.xlsx,19813467,e037f5ff766fb0befc950e247ab12566de69a435e5a57a374f996dd55da9cf17,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM8_ESM.xlsx,11616,f1ed2dd6732b22fdc2aa5f734d199813b76c7fdd678b91c3064df46c8491c591,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary/41467_2024_55325_MOESM9_ESM.xlsx,26916,a7e3786881f380a6d094a7a8aba81a6260e40ede7640275fca5fee37e8a1e3a3,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC11697218_supplementary.zip,82490701,00db2f414bd85a73c0de3914e12badb8e0c0950ca19383b3182f5dcea265274a,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_fulltext.xml,163177,a5429886f8c83d09034274aa09a149c078307eb6bf8129a63e8f14c93272645c,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS1.png,640381,c6963a2fef5496a897a08dab9eb442d12f82e2e340f2ae4d8150de80d2459c4d,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS2.png,2992508,02281458feeba647f39d3ff6797aa1b11ff10674d326fe6add58fa8be9dc7fb1,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS3.png,2206827,dc69da0ac80020f19d46c446abe4c24e4e02f649fc3ad5decfe2e31dcb96c68b,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS4.png,2257068,09ba0b4412cc94bf23771da96e4fd84194217aeef1fe14e7e36d75899417320f,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS5.png,2327481,f367b4df8e9839740a299ddd4049494df703a099555f136818b0875a6b07d3f2,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS6.png,2267471,337c33a3194c72bed81f472164f0f75a2a07508e8987d27aa01b77ea4c971239,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS7.png,1335124,42dcce634253e8024111268e6e3cf6fa916f3242062b4529c657a0aaf94f187c,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS8.png,2102401,2c6d0d051dd81df03ba79f1290e3d0735e6a8e6ee48e965bdf7808097d570156,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
data/raw/phase0_metadata/PMC13307378_supplementary/IANN_A_2690717_SM4886/suppl_data/FigS9.png,2081039,80ea827b388bd349acf570a3f4732343420fd004508a11c81b19639f0c619356,2026-08-30,source metadata/supplement,no; immutable source data are represented by this manifest
