program_id,cell_lineage,assay_resource,n_program_genes,n_detected,coverage,coverage_tier
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,scRNA_GSE136103_feature_space,66,66,1.0,primary
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,snRNA_GSE210077_feature_space,66,62,0.939394,primary
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,MERFISH_GSE210077_panel,66,2,0.030303,spatial_ineligible
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,scRNA_GSE136103_feature_space,679,679,1.0,primary
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,snRNA_GSE210077_feature_space,679,651,0.958763,primary
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,MERFISH_GSE210077_panel,679,8,0.011782,spatial_ineligible
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,scRNA_GSE136103_feature_space,332,332,1.0,primary
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,snRNA_GSE210077_feature_space,332,324,0.975904,primary
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,MERFISH_GSE210077_panel,332,17,0.051205,spatial_ineligible
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,scRNA_GSE136103_feature_space,330,330,1.0,primary
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,snRNA_GSE210077_feature_space,330,266,0.806061,primary
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,MERFISH_GSE210077_panel,330,4,0.012121,spatial_ineligible
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,scRNA_GSE136103_feature_space,269,269,1.0,primary
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,snRNA_GSE210077_feature_space,269,254,0.944238,primary
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,MERFISH_GSE210077_panel,269,5,0.018587,spatial_ineligible
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,scRNA_GSE136103_feature_space,130,130,1.0,primary
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,snRNA_GSE210077_feature_space,130,122,0.938462,primary
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,MERFISH_GSE210077_panel,130,2,0.015385,spatial_ineligible
RAM2019_ENDO_1,endothelial,scRNA_GSE136103_feature_space,80,80,1.0,primary
RAM2019_ENDO_1,endothelial,snRNA_GSE210077_feature_space,80,77,0.9625,primary
