dataset_id,donor_id,sample_id,assay,cell_lineage,expected_from_design,donor_level_cell_count,eligible_at_30_cells,evidence_basis
GSE136103,Healthy1,GSM4041150,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy1,GSM4041150,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy1,GSM4041150,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy1,GSM4041151,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy1,GSM4041151,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy1,GSM4041151,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy1,GSM4041152,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy1,GSM4041152,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy1,GSM4041152,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy2,GSM4041153,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy2,GSM4041153,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy2,GSM4041153,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy2,GSM4041154,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy2,GSM4041154,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy2,GSM4041154,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy3,GSM4041155,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy3,GSM4041155,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy3,GSM4041155,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
