analysis_set,lineage,program_id,score_method,fibrosis_stage_numeric,n_donors,median_score,q25_score,q75_score
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,0,5,0.8016165040860359,0.7748231883575052,0.8207404846596635
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,1,8,0.8268410069725015,0.8084025099339404,0.8358526736252841
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,2,11,0.8119665453212599,0.8020663428937964,0.8315378655981607
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,3,11,0.8146247594611931,0.7750697666669444,0.8228511866581141
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,4,4,0.8152439125979857,0.7856660738235466,0.8347293261581266
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,0,5,-0.0873799264277318,-0.1988730584613119,0.1673691556798511
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,1,8,0.33654841791440676,-0.010398306171402125,0.4428521095721806
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,2,11,0.2098175339891066,0.07150828751545366,0.3162518233900493
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,3,11,0.121798307385615,-0.07756041585470391,0.3389174711453504
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,4,4,0.05441698740543849,-0.3678360804116537,0.32274777805365107
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,0,5,0.2473197029955254,0.2221386944737082,0.2719762003036801
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,1,8,0.3274119692862922,0.2899295337065509,0.3355631268616795
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,2,11,0.3360723646664212,0.27366447077265565,0.3464810065847017
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,3,11,0.3006425262367362,0.26322751716954673,0.31954579117003246
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,4,4,0.3290994947109302,0.2736126901911933,0.36552862385840573
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,0,5,-0.2967404574472027,-0.3245293032703626,-0.2880278224644185
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,1,8,0.04563096508690315,-0.0410281765796251,0.12915558867868407
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,2,11,0.1714790459365389,-0.18645661755402293,0.3036730673075625
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,3,11,-0.0501025827097847,-0.3915131243457269,0.10170507952999865
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,4,4,0.06010871510958565,-0.270954040033589,0.2786000680849135
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,singscore,0,5,0.5888697473899267,0.5806975777827796,0.6074380594559965
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,singscore,1,8,0.6093910694807556,0.577124417819485,0.635924649825995
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,singscore,2,11,0.6538964973942551,0.590252696642831,0.6641865921013904
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,singscore,3,11,0.5673745173745175,0.5245987499350727,0.626871201759094
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,singscore,4,4,0.589828938483647,0.5727266824800457,0.6176887649981821
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,0,5,-0.0353015006884338,-0.2081313981776371,0.0553425812622247
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,1,8,0.16680339766711666,-0.07553601081116004,0.23037650971468798
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,2,11,0.2527494870359145,-0.047945179294269155,0.30745627952991517
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,3,11,-0.0159715310360438,-0.35728846065317516,0.3289565378051541
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,4,4,-0.1152240501586187,-0.27454012472950984,0.06795549718526804
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,0,5,0.5783723703776391,0.5452257304821069,0.598385428853949
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,1,8,0.6328994346359101,0.6073749254610096,0.6547940836799239
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,2,11,0.6367675364769287,0.5954021708773334,0.6722603618632105
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,3,11,0.5921547240736409,0.5363002996656124,0.6718891765611672
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,4,4,0.652501679486115,0.5659264347340374,0.7270666170998106
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,0,5,-0.2830820662994328,-0.4150301241076562,-0.1526606981161721
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,1,8,0.09502336174184725,-0.008423250329421225,0.22673543352743292
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,2,11,0.1839073341609327,-0.0749854994863741,0.39719772917660073
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,3,11,-0.1337469343896496,-0.4078352325713309,0.267731431599585
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,4,4,0.2642901217596828,-0.24623428973038208,0.6719999572889128
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,0,5,0.5102080596409155,0.4531018028987363,0.5160450511070525
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,1,8,0.5213900637636579,0.49716060805109646,0.5473806634304208
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,2,11,0.5323985068409753,0.4919320815576703,0.576210655046087
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,3,11,0.4503288314268321,0.41569973138090505,0.5424857412925759
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,4,4,0.5115872024095613,0.44585129022611,0.5753283307699701
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,0,5,-0.2297866641132945,-0.3900452871191956,0.11890517324534
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,1,8,0.06954285335030874,-0.14174552616337938,0.14633387818670962
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,2,11,0.2095685337565188,-0.10953233466492579,0.3473987394933113
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,3,11,-0.2689195935556873,-0.32111698756098384,0.11929108948236955
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,4,4,0.1238525924557313,-0.21844167311787346,0.5119269291764482
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,0,5,0.4718941697338241,0.3375286712540675,0.4821784818904358
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,1,8,0.4496946178055157,0.4318530964954393,0.46984650877473727
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,2,11,0.4930122152877794,0.4327172347575612,0.5325145356590387
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,3,11,0.4587480663572838,0.4098962500666773,0.4861631194324425
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,4,4,0.5104563396810158,0.4779097989011576,0.5294487117938871
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,0,5,-0.2910018444930984,-0.6354446000229805,-0.1023150212619063
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,1,8,-0.26309382382278307,-0.5022172149751308,0.0095533693352064
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,2,11,-0.0002818405040499,-0.0764071033876354,0.06034021709630305
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,3,11,-0.1912707233492913,-0.3857810254808415,0.16495579509310954
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,4,4,0.12587278157310833,-0.15928402820386642,0.3025088799578893
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,0,2,0.24718498105052,0.2352765383203471,0.2590934237806929
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,1,6,0.2857092999808696,0.20652529096370892,0.3474409153658827
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,2,7,0.3273586027537498,0.26178900671633687,0.35166512416692086
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,3,4,0.27382567512370154,0.18227732421965887,0.3591380183962483
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,4,1,0.3092451747333371,0.3092451747333371,0.3092451747333371
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,0,2,-0.33023217994889115,-0.3491362385879775,-0.3113281213098048
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,1,6,-0.0279067425266376,-0.17133726623721993,0.10968620332227332
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,2,7,0.1522239914085119,0.0496491218173048,0.31439972897824353
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,3,4,0.014453366918778743,-0.28922333705845915,0.32197356421103945
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,4,1,0.2126355849163608,0.2126355849163608,0.2126355849163608
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,0,2,0.5622746357293491,0.5495304718214956,0.5750187996372026
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,1,6,0.521776123404657,0.4857743213421818,0.5551088141852036
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,2,7,0.5640243192697361,0.5578126886138473,0.5957555347642254
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,3,4,0.5124616725306469,0.4678605269053979,0.5560514646739998
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,4,1,0.5133253713567114,0.5133253713567114,0.5133253713567114
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,0,2,0.0261578700298971,0.006620959482213851,0.04569478057758035
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,1,6,-0.0608389941629055,-0.14569666349887317,0.10231382327841634
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,2,7,0.1620023020996541,0.124747692129382,0.36037134053513387
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,3,4,-0.11529475891853755,-0.2542936131200186,0.015418112398217276
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,4,1,0.0745552705461741,0.0745552705461741,0.0745552705461741
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,0,2,0.7800737537623361,0.7781515707236571,0.7819959368010151
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,1,6,0.7172822862943593,0.6964374838934024,0.7382447133190826
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,2,7,0.7115587139170916,0.6972851194035767,0.7308500814415653
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,3,4,0.70966138769489,0.6775468196077591,0.7350081131823003
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,4,1,0.6809909728715338,0.6809909728715338,0.6809909728715338
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,0,2,0.44790723739779364,0.4261343045414988,0.4696801702540885
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,1,6,0.02937093030432875,-0.12926888756556199,0.21132222055701097
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,2,7,0.0111955085962702,-0.1850654437299947,0.06908253681244156
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,3,4,-0.11271343146555834,-0.1901656180556129,0.018567281907058017
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,4,1,-0.2135001303081744,-0.2135001303081744,-0.2135001303081744
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,0,2,0.24436504969866335,0.2327165005594591,0.25601359883786756
