analysis_set,lineage,program_id,score_method,n_donors,n_stages,stage_min,stage_max,spearman_rho,spearman_bootstrap_ci95_low,spearman_bootstrap_ci95_high,permutation_p_two_sided,standardized_score_slope_per_stage,hc3_se,hc3_ci95_low,hc3_ci95_high,resamples,fdr_bh,positive_fdr_005,dual_score_positive_fdr_005
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,39,5,0,4,-0.06886131020261946,-0.4149348267464405,0.2840420275945378,0.6742325767423257,-0.08206385625542856,0.16289013517186712,-0.4013285211922881,0.237200808681431,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,39,5,0,4,-0.06969472999327143,-0.4146850955052853,0.2878802515107,0.6742325767423257,-0.09333076206697581,0.1674552622697035,-0.42154307611559466,0.234881551981643,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,39,5,0,4,0.10386494141000242,-0.24959696571406292,0.43406865776518183,0.5315468453154685,0.11840986179063177,0.155913816028585,-0.1871812176253948,0.4240009412066584,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,39,5,0,4,0.04458795879988068,-0.2941598775325474,0.37667308798902766,0.794020597940206,0.07805299377478066,0.16137993169753687,-0.23825167235239159,0.3943576599019529,10000,0.9005849415058493,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,singscore,39,5,0,4,-0.09230124181470627,-0.39274787356977237,0.23572240354576396,0.5686431356864313,-0.04022245502635288,0.10902554994685172,-0.25391253292218224,0.17346762286947648,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,39,5,0,4,-0.03219083941393255,-0.3470111501864315,0.3028975455582669,0.8489151084891511,-0.05029505649870799,0.11907653386999258,-0.28368506288389345,0.18309494988647745,10000,0.9260892092608921,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,39,5,0,4,0.08084171969324161,-0.2766421675865807,0.4338833081035673,0.618938106189381,0.07970163320189531,0.15172076048453292,-0.2176710573477892,0.37707432375157984,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,39,5,0,4,0.07979994495492664,-0.2716113102170627,0.4345303372017242,0.6299370062993701,0.09726701913317744,0.1600320498110681,-0.21639579849651608,0.4109298367628709,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,39,5,0,4,0.017605993077522978,-0.3128093377335976,0.34337736100352056,0.9192080791920808,-0.0247659853346009,0.1487459653256265,-0.31630807737282884,0.26677610670362706,10000,0.9454711671689974,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,39,5,0,4,0.08052918727174711,-0.2671970977414118,0.4079443020323317,0.6198380161983802,0.10281057545860027,0.15382882572937853,-0.19869392297098165,0.4043150738881822,10000,0.8707529247075292,False,False
