program_id,lineage,evaluable_independent,positive_both_scores_any_cohort,random_specific_both_scores_any_cohort,positive_primary_interval_both_scores,advanced_sensitivity_meta_available,within_cell_state_replicated,pan_cirrhotic_transportable,assay_robust
RAM2019_ENDO_1,endothelial,True,True,False,False,True,False,False,False
RAM2019_ENDO_2,endothelial,True,True,True,False,True,False,False,False
RAM2019_ENDO_3,endothelial,True,True,False,False,True,False,False,False
RAM2019_ENDO_4,endothelial,True,True,True,False,True,False,False,False
RAM2019_ENDO_5,endothelial,True,True,False,False,True,False,False,False
RAM2019_ENDO_6_SAENDO1,endothelial,True,True,True,False,True,False,False,False
RAM2019_ENDO_7_SAENDO2,endothelial,True,True,False,False,False,False,False,False
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,True,True,True,False,False,False,False,False
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,True,True,True,False,False,False,False,False
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,True,True,True,False,False,False,False,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,True,False,False,False,False,False,False,False
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,True,True,True,False,False,False,False,False
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,True,True,True,False,False,False,False,False
RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,True,True,False,False,False,False,False,False
RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,True,True,True,False,False,False,False,False
RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,True,True,True,False,False,False,False,False
RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,True,True,False,False,False,False,False,False
RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,True,True,False,False,False,False,False,False
RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,True,True,False,False,False,False,False,False
