dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_1,4,4,9998,0.3749749949989998,-0.199900114867474,-1.6319913484119535,1.6566280600057883,6.0,1.0,6.0,0.48499699939988
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_2,4,4,9998,0.7749549909981996,0.4350438629476524,-0.8536971247875735,2.8974324597624173,3.0,1.0,5.0,1.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_3,4,4,9998,0.665133026605321,0.25857354896149326,-2.1391976241305417,1.5729435377786887,4.0,2.0,6.0,0.9300860172034406
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_4,4,4,9998,0.907381476295259,0.7579122638008448,-0.9249719383961987,6.20155253908758,1.0,1.0,4.0,0.9996999399879976
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_5,4,4,9998,0.4455891178235647,-0.07994182502994401,-2.299714993519649,2.2047116321111524,5.0,3.0,6.0,0.5867173434686938
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,4,4,9998,0.8979795959191839,0.7674924209278251,-0.5837089355237568,2.5645959338001982,2.0,1.0,4.0,0.998499699939988
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_1,4,4,9999,0.21282128212821283,-0.49288617579752375,-2.0979473596468843,1.0999757093413467,6.0,1.0,6.0,0.41224122412241226
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_2,4,4,9999,0.718971897189719,0.3481608302685756,-1.0260892288054735,4.156238406932302,3.0,1.0,5.0,0.998999899989999
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_3,4,4,9999,0.31313131313131315,-0.2952088246110653,-3.0984183162072316,1.1041232242319259,5.0,4.0,6.0,0.6864686468646864
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_4,4,4,9999,0.8805880588058805,0.712304987816672,-0.7633872879935384,7.025785216560524,1.0,1.0,3.0,1.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_5,4,4,9999,0.83008300830083,0.5484772219232894,-1.0411978023396147,3.0013513779525245,2.0,1.0,6.0,0.9701970197019701
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,4,4,9999,0.6518651865186519,0.23290766877477478,-1.290078014634766,1.7905825672060536,4.0,1.0,6.0,0.9320932093209321
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_1,5,15,10000,0.4829,-0.022260303838293846,-0.9513557476140635,1.1209584827141728,5.0,3.0,6.0,0.6376
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_2,5,15,10000,0.9613,0.858468054685855,-0.08298259047018003,1.991173932875611,2.0,1.0,3.0,1.0
