dataset_id,trend,lineage,program_id,score_method,n_donors,n_normal,n_masl,n_mash,spearman_rho,permutation_p_two_sided,permutations,theil_sen_slope_per_level,theil_sen_intercept,theil_sen_ci95_low,theil_sen_ci95_high,fdr_within_lineage_method
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_1,singscore,18,5,4,9,0.0022450507161913503,0.9936006399360064,10000,-0.000977237094358041,0.7931734325398365,-0.03536632929470129,0.01392532540612701,0.9936006399360064
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_1,standardized_mean,18,5,4,9,0.01122525358095675,0.9671032896710329,10000,-0.00471708286655137,0.15094155949712457,-0.4503150209037573,0.11257975531316021,0.9671032896710329
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_2,singscore,18,5,4,9,0.608408744087856,0.008599140085991401,10000,0.0693730940928331,0.24432113524201654,0.007925490965111581,0.11898298524257316,0.05704429557044296
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_2,standardized_mean,18,5,4,9,0.47595075183256624,0.04689531046895311,10000,0.1677907245131041,-0.3652765423654788,0.012466007169980614,0.4528747800428414,0.16413358664133587
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_3,singscore,18,5,4,9,0.43441731358302627,0.070992900709929,10000,0.016936393335891253,0.5726920155480371,-0.00790965706734248,0.03995907595363479,0.12423757624237575
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_3,standardized_mean,18,5,4,9,0.09429213008003672,0.7075292470752925,10000,0.0361412427955846,-0.055543079708012505,-0.1082585818725206,0.19319023829818144,0.9671032896710329
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_4,singscore,18,5,4,9,0.17511395586292533,0.47035296470352966,10000,0.013737432477172185,0.5422957932999515,-0.018205646786779495,0.042574333005690246,0.5487451254874512
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_4,standardized_mean,18,5,4,9,0.05163616647240105,0.8316168383161684,10000,0.011743409328961299,-0.06365142796239695,-0.18877953587906648,0.24187490251610372,0.9671032896710329
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_5,singscore,18,5,4,9,0.5230968168725846,0.028697130286971302,10000,0.04523761294441153,0.4817324690630526,0.003972620187586068,0.07235271189353767,0.0669599706695997
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_5,standardized_mean,18,5,4,9,0.39512892604967764,0.10128987101289871,10000,0.1844260848030328,-0.28641152769612566,-0.0631073512923378,0.4764630722520705,0.23634303236343035
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,18,5,4,9,0.5691203565545073,0.016298370162983702,10000,0.08155558824971815,0.45965284929625794,0.016022693835515717,0.13688177382178413,0.05704429557044296
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,18,5,4,9,0.5679978311964116,0.017598240175982403,10000,0.3411782775737947,-0.5344920476998081,0.09312855361402478,0.6113568422877623,0.12318768123187682
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_7_SAENDO2,singscore,18,5,4,9,0.3861487231849122,0.11208879112088792,10000,0.041393191446608246,0.31833989182672173,-0.008194711900735202,0.09519449421457174,0.15692430756924308
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,18,5,4,9,0.19980951374103018,0.42685731426857315,10000,0.2718301188919541,-0.4781853380637655,-0.23878286219386233,0.573981216132045,0.7470002999700031
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,17,4,4,9,0.5897333430810272,0.015798420157984203,10000,0.087059373562795,0.1263921038522811,0.037751963492132196,0.13335325834245948,0.04739526047395261
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,17,4,4,9,0.5614584567689231,0.020997900209979003,10000,0.26899850178403545,-0.622322209069994,0.04736985119594479,0.4358025380407464,0.062993700629937
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,17,4,4,9,0.5008694146715573,0.0438956104389561,10000,0.03262944571559008,0.4412016056551945,-0.00027955624778452925,0.059144518586135675,0.0877912208779122
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,17,4,4,9,0.4510517578359455,0.07029297070292971,10000,0.11534824012326528,-0.17192579545307426,-0.030534825784681002,0.2273889491357268,0.14058594140585942
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,17,4,4,9,0.059242618939646566,0.8192180781921807,10000,0.001194522154164268,0.7712803632146912,-0.02784539666004071,0.018656186985222867,0.8673132686731325
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,17,4,4,9,-0.057896195781927326,0.8227177282271773,10000,-0.016673362980161123,0.14515488933514525,-0.14424727943864815,0.14268270224916568,0.8227177282271773
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,17,4,4,9,0.04577838736245417,0.8673132686731326,10000,0.0008647039897038966,0.2068124724374725,-0.018411065286065398,0.027071183321183294,0.8673132686731325
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,17,4,4,9,-0.15214581682227415,0.561043895610439,10000,-0.019883067677091693,0.047226191947517385,-0.13108382366968355,0.12537968612150088,0.6732526747325268
