lineage,program_id,both_score_methods_available,fixed_ci_positive_both_scores,random_reml_ci_positive_both_scores,fixed_weight_max_le_070_both_scores,formal_replication_eligible,classification
endothelial,RAM2019_ENDO_1,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
endothelial,RAM2019_ENDO_2,True,True,False,True,False,POST_LOCK_SENSITIVITY_SUPPORT
endothelial,RAM2019_ENDO_3,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
endothelial,RAM2019_ENDO_4,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
endothelial,RAM2019_ENDO_5,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
endothelial,RAM2019_ENDO_6_SAENDO1,True,True,False,True,False,POST_LOCK_SENSITIVITY_SUPPORT
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,True,False,False,True,False,NO_DUAL_SCORE_POST_LOCK_META_SUPPORT
