endpoint_family,lineage,program_id,score_method,k,fixed_hedges_g,fixed_ci95_low,fixed_ci95_high,random_reml_hedges_g,random_reml_ci95_low,random_reml_ci95_high,q,i2_percent,tau2_reml,maximum_fixed_weight_fraction,maximum_random_weight_fraction,input_datasets,input_effects,formal_replication_eligible,eligibility_reason
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_1,singscore,2,-1.1267514627177104,-2.1218594723005,-0.13164345313492065,-1.1421379337910726,-3.0033435982373247,0.7190677306551791,3.4965752871600126,71.40058720679744,1.2877354675526158,0.5113464447813884,0.5032450166418893,GSE202379;GSE256398_human,-0.19868623;-2.0979157,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_1,standardized_mean,2,-2.040489060092678,-3.074185875139932,-1.006792245045424,-2.205333990837895,-5.639907068894267,1.2292390872184775,10.922361155764237,90.84447047905705,5.579572227248476,0.5517738996549061,0.5047401751546312,GSE202379;GSE256398_human,-0.46953543;-3.9743595,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_2,singscore,2,1.7289926066680714,0.8223800053024728,2.6356052080336703,1.579698397452694,-0.7214418724245255,3.8808386673299133,6.298834549660653,84.12404720086076,2.3204607518850606,0.5755580516544472,0.5119955620796349,GSE202379;GSE256398_human,0.37713423;2.7259127,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_2,standardized_mean,2,1.2962924489613612,0.3581370475036575,2.234447850419065,1.236575969132669,-0.5463721244941417,3.01952406275948,3.584223215185535,72.0999519292429,1.1940166555924374,0.5455099667423318,0.5126973028829356,GSE202379;GSE256398_human,0.30350701;2.1234287,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_3,singscore,2,0.7815752912031821,-0.19410040211029744,1.7572509845166617,0.780624250245715,-0.25192082329172116,1.8131693237831512,1.1199042326578015,10.706650547541905,0.05944257210319395,0.5084295495771345,0.5075270071236645,GSE202379;GSE256398_human,0.24582506;1.2995605,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_3,standardized_mean,2,0.038338167297411074,-0.8533482987056844,0.9300246333005064,0.038338167297411074,-0.8533482987056844,0.9300246333005064,0.2995943985178055,0.0,0.0,0.5894187174460349,0.5894187174460349,GSE202379;GSE256398_human,-0.26001822;0.24616928,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_4,singscore,2,0.576093754279338,-0.42515191504013095,1.577339423598807,0.576093754279338,-0.42515191504013095,1.577339423598807,0.08929042251712728,0.0,0.0,0.5176736961667272,0.5176736961667272,GSE202379;GSE256398_human,0.72343673;0.41795271,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_4,standardized_mean,2,0.34128076952369935,-0.6543261322287478,1.3368876712761466,0.34128076952369935,-0.6543261322287478,1.3368876712761466,0.3968307403789038,0.0,0.0,0.511859295010785,0.511859295010785,GSE202379;GSE256398_human,0.65376758;0.013610328,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_5,singscore,2,0.7842404107599303,-0.12546406509775976,1.6939448866176203,0.716977086766352,-0.7595787946107059,2.1935329681434097,2.5870343115232965,61.34570014994581,0.6985127642299441,0.5726581162801049,0.5280854708152346,GSE202379;GSE256398_human,-0.079941825;1.42913,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_5,standardized_mean,2,1.1376424559287837,0.21810069219561712,2.0571842196619503,1.1213218509492429,0.06451523789383118,2.1781284640046543,1.3118662080397563,23.772714483267272,0.13952626907936275,0.5633658349773019,0.5483021854252689,GSE202379;GSE256398_human,0.52726771;1.6107107,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,2,1.5702886899391753,0.7218898472897101,2.4186875325886406,1.4559640413690034,0.045909469083396326,2.86601861365461,2.605658155123024,61.62198030336846,0.6441079309023037,0.6283150880545849,0.5492447910639133,GSE202379;GSE256398_human,0.66183249;2.1076934,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,2,1.8629149667575626,0.9884751388847919,2.7373547946303334,1.609071372858849,-1.056148907429286,4.274291653146984,8.883940599385312,88.743733832831,3.2837131336882113,0.6051477135344507,0.5118357016999368,GSE202379;GSE256398_human,0.21668671;2.937061,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,2,-0.006912030783085813,-0.8237294126064544,0.8099053510402828,-0.08358580428816426,-1.3288209027441031,1.1616492941677745,2.235439911380036,55.26607559839728,0.45040581418918035,0.6086677209124668,0.5486113051783018,GSE202379;GSE256398_human,-0.78399555;0.49270024,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,2,-0.33966299318541543,-1.1871431267208947,0.507817140350064,-0.3735184538278203,-1.466910511891613,0.7198736042359726,1.6392200544045985,38.99537787419137,0.24489546780325866,0.5774669845908927,0.5472583881690883,GSE202379;GSE256398_human,-0.98684337;0.13387936,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,2,0.40434101700269615,-0.5309168267878936,1.339598860793286,0.40434101700269615,-0.5309168267878936,1.339598860793286,0.003975470658482874,0.0,0.0,0.6488851967475535,0.6488851967475535,GSE202379;GSE256398_human,0.44524155;0.38220955,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,2,0.3624282030289378,-0.557187133948974,1.2820435400068497,0.3624282030289378,-0.557187133948974,1.2820435400068497,0.786288711663796,0.0,0.0,0.6429656795941422,0.6429656795941422,GSE202379;GSE256398_human,0.9207442;0.052399259,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,2,0.6987930397057704,-0.2737675228884642,1.671353602300005,0.6987930397057704,-0.2737675228884642,1.671353602300005,0.0006575883988088355,0.0,0.0,0.6752787633648732,0.6752787633648732,GSE202379;GSE256398_human,0.68044356;0.70761675,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,2,1.0720010953762822,0.0367182307461531,2.107283960006411,1.0720010953762822,0.0367182307461531,2.107283960006411,0.7783252361388271,0.0,0.0,0.6484179308325084,0.6484179308325084,GSE202379;GSE256398_human,1.7048465;0.72886266,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,2,0.06050901808199634,-0.7879796596610861,0.9089976958250788,0.021718939003230738,-1.343466597531464,1.3869044755379252,2.570504987013195,61.097138303475816,0.5935641134095389,0.545547165607193,0.5177191640127792,GSE202379;GSE256398_human,-0.69994148;0.69398107,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,2,0.21486141443435178,-0.6432029164992681,1.0729257453679717,0.18883284020779162,-0.8815949166696668,1.2592605970852502,1.5395948831860529,35.04784856581297,0.2107027769936479,0.5677281529683377,0.5439908122586049,GSE202379;GSE256398_human,-0.40766638;0.68885806,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,2,0.621648586224564,-0.3216816886727054,1.5649788611218334,0.4604567680441692,-1.353913624756095,2.2748271608444335,3.4973423344587706,71.40685971324125,1.2297476113101844,0.621632611882562,0.5347785840095897,GSE202379;GSE256398_human,-0.53203528;1.3238581,False,post-lock k=2 synthesis includes one reconstructed-label cohort
mash_cirrhosis_vs_healthy_post_lock_sensitivity_meta,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,2,0.5521776147944089,-0.5514427349054611,1.6557979644942789,0.5357523497646812,-1.050910773475523,2.122415473004885,2.064502103726924,51.562170937256056,0.6760455892015527,0.5196717859522155,0.5095285924515216,GSE202379;GSE256398_human,-0.28934698;1.3299916,False,post-lock k=2 synthesis includes one reconstructed-label cohort
