pair_id,pair_class,lineage,score_method,dataset_left,contrast_left,dataset_right,contrast_right,n_programs,spearman_rho,sign_agreement,median_absolute_g_difference
mash_cirrhosis_endpoint_aligned_cross_cohort,stage_and_etiology_aligned; author versus reconstructed labels,endothelial,singscore,GSE202379,clinical_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.3142857142857143,0.8333333333333334,1.4774663548344584
mash_cirrhosis_endpoint_aligned_cross_cohort,stage_and_etiology_aligned; author versus reconstructed labels,endothelial,standardized_mean,GSE202379,clinical_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.2,0.8333333333333334,1.451682340102236
mash_cirrhosis_endpoint_aligned_cross_cohort,stage_and_etiology_aligned; author versus reconstructed labels,mesenchymal_hsc_myofibroblast,singscore,GSE202379,clinical_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,-0.14285714285714288,0.3333333333333333,1.335309175543626
mash_cirrhosis_endpoint_aligned_cross_cohort,stage_and_etiology_aligned; author versus reconstructed labels,mesenchymal_hsc_myofibroblast,standardized_mean,GSE202379,clinical_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.08571428571428573,0.5,1.0362541589183802
mash_cross_cohort_stage_mismatched,etiology aligned; mixed F2-F4 versus cirrhosis endpoint,endothelial,singscore,GSE244832,mash_f2f4_group_vs_normal_sensitivity,GSE256398_human,mash_cirrhosis_vs_healthy,7,0.8571428571428573,1.0,0.5087761995465938
mash_cross_cohort_stage_mismatched,etiology aligned; mixed F2-F4 versus cirrhosis endpoint,endothelial,standardized_mean,GSE244832,mash_f2f4_group_vs_normal_sensitivity,GSE256398_human,mash_cirrhosis_vs_healthy,7,1.0,1.0,0.874185137447485
mash_cross_cohort_stage_mismatched,etiology aligned; mixed F2-F4 versus cirrhosis endpoint,macrophage_monocyte,singscore,GSE244832,mash_f2f4_group_vs_normal_sensitivity,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.6,0.6666666666666666,0.9773402177486569
mash_cross_cohort_stage_mismatched,etiology aligned; mixed F2-F4 versus cirrhosis endpoint,macrophage_monocyte,standardized_mean,GSE244832,mash_f2f4_group_vs_normal_sensitivity,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.6571428571428573,1.0,0.49977661237575793
mash_cross_cohort_stage_mismatched,etiology aligned; mixed F2-F4 versus cirrhosis endpoint,mesenchymal_hsc_myofibroblast,singscore,GSE244832,mash_f2f4_group_vs_normal_sensitivity,GSE256398_human,mash_cirrhosis_vs_healthy,6,-0.3714285714285715,0.8333333333333334,0.5231603196938757
mash_cross_cohort_stage_mismatched,etiology aligned; mixed F2-F4 versus cirrhosis endpoint,mesenchymal_hsc_myofibroblast,standardized_mean,GSE244832,mash_f2f4_group_vs_normal_sensitivity,GSE256398_human,mash_cirrhosis_vs_healthy,6,-0.08571428571428573,0.8333333333333334,0.39360212092904473
same_assay_cirrhosis_etiology_contrast,"same cohort, assay and endpoint; MASH versus alcohol etiology",endothelial,singscore,GSE256398_human,alcohol_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,7,0.9642857142857145,0.5714285714285714,1.1186549731479338
same_assay_cirrhosis_etiology_contrast,"same cohort, assay and endpoint; MASH versus alcohol etiology",endothelial,standardized_mean,GSE256398_human,alcohol_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,7,0.9642857142857145,0.5714285714285714,0.887684154191295
same_assay_cirrhosis_etiology_contrast,"same cohort, assay and endpoint; MASH versus alcohol etiology",macrophage_monocyte,singscore,GSE256398_human,alcohol_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.942857142857143,0.6666666666666666,0.48782286822270304
same_assay_cirrhosis_etiology_contrast,"same cohort, assay and endpoint; MASH versus alcohol etiology",macrophage_monocyte,standardized_mean,GSE256398_human,alcohol_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.942857142857143,0.8333333333333334,0.36233352649534756
same_assay_cirrhosis_etiology_contrast,"same cohort, assay and endpoint; MASH versus alcohol etiology",mesenchymal_hsc_myofibroblast,singscore,GSE256398_human,alcohol_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.08571428571428573,0.6666666666666666,0.8629537639490412
same_assay_cirrhosis_etiology_contrast,"same cohort, assay and endpoint; MASH versus alcohol etiology",mesenchymal_hsc_myofibroblast,standardized_mean,GSE256398_human,alcohol_cirrhosis_vs_healthy,GSE256398_human,mash_cirrhosis_vs_healthy,6,0.8285714285714287,0.8333333333333334,0.3417427437443623
same_assay_mash_stage_contrast,"same cohort, assay and etiology; fibrosis versus cirrhosis case groups",endothelial,singscore,GSE256398_human,mash_fibrosis_vs_masld_f0,GSE256398_human,mash_cirrhosis_vs_masld_f0,7,0.8571428571428573,0.7142857142857143,0.7286662880296504
same_assay_mash_stage_contrast,"same cohort, assay and etiology; fibrosis versus cirrhosis case groups",endothelial,standardized_mean,GSE256398_human,mash_fibrosis_vs_masld_f0,GSE256398_human,mash_cirrhosis_vs_masld_f0,7,0.6785714285714287,0.8571428571428571,0.8225135088686233
same_assay_mash_stage_contrast,"same cohort, assay and etiology; fibrosis versus cirrhosis case groups",macrophage_monocyte,singscore,GSE256398_human,mash_fibrosis_vs_masld_f0,GSE256398_human,mash_cirrhosis_vs_masld_f0,6,0.8285714285714287,0.8333333333333334,0.3438016824871061
same_assay_mash_stage_contrast,"same cohort, assay and etiology; fibrosis versus cirrhosis case groups",macrophage_monocyte,standardized_mean,GSE256398_human,mash_fibrosis_vs_masld_f0,GSE256398_human,mash_cirrhosis_vs_masld_f0,6,0.8285714285714287,0.8333333333333334,0.546845597029973
same_assay_mash_stage_contrast,"same cohort, assay and etiology; fibrosis versus cirrhosis case groups",mesenchymal_hsc_myofibroblast,singscore,GSE256398_human,mash_fibrosis_vs_masld_f0,GSE256398_human,mash_cirrhosis_vs_masld_f0,6,0.942857142857143,1.0,0.3503718938857848
same_assay_mash_stage_contrast,"same cohort, assay and etiology; fibrosis versus cirrhosis case groups",mesenchymal_hsc_myofibroblast,standardized_mean,GSE256398_human,mash_fibrosis_vs_masld_f0,GSE256398_human,mash_cirrhosis_vs_masld_f0,6,0.8285714285714287,1.0,0.3766498495589646
