lineage,program_left,program_right,genes_left,genes_right,shared_genes,jaccard,overlap_coefficient
endothelial,RAM2019_ENDO_1,RAM2019_ENDO_1,80,80,80,1.0,1.0
endothelial,RAM2019_ENDO_1,RAM2019_ENDO_2,80,45,1,0.008064516129032258,0.022222222222222223
endothelial,RAM2019_ENDO_1,RAM2019_ENDO_3,80,39,8,0.07207207207207207,0.20512820512820512
endothelial,RAM2019_ENDO_1,RAM2019_ENDO_4,80,88,18,0.12,0.225
endothelial,RAM2019_ENDO_1,RAM2019_ENDO_5,80,50,0,0.0,0.0
endothelial,RAM2019_ENDO_1,RAM2019_ENDO_6_SAENDO1,80,12,0,0.0,0.0
endothelial,RAM2019_ENDO_1,RAM2019_ENDO_7_SAENDO2,80,56,0,0.0,0.0
endothelial,RAM2019_ENDO_2,RAM2019_ENDO_2,45,45,45,1.0,1.0
endothelial,RAM2019_ENDO_2,RAM2019_ENDO_3,45,39,3,0.037037037037037035,0.07692307692307693
endothelial,RAM2019_ENDO_2,RAM2019_ENDO_4,45,88,5,0.0390625,0.1111111111111111
endothelial,RAM2019_ENDO_2,RAM2019_ENDO_5,45,50,2,0.021505376344086023,0.044444444444444446
endothelial,RAM2019_ENDO_2,RAM2019_ENDO_6_SAENDO1,45,12,0,0.0,0.0
endothelial,RAM2019_ENDO_2,RAM2019_ENDO_7_SAENDO2,45,56,4,0.041237113402061855,0.08888888888888889
endothelial,RAM2019_ENDO_3,RAM2019_ENDO_3,39,39,39,1.0,1.0
endothelial,RAM2019_ENDO_3,RAM2019_ENDO_4,39,88,13,0.11403508771929824,0.3333333333333333
endothelial,RAM2019_ENDO_3,RAM2019_ENDO_5,39,50,2,0.022988505747126436,0.05128205128205128
endothelial,RAM2019_ENDO_3,RAM2019_ENDO_6_SAENDO1,39,12,0,0.0,0.0
endothelial,RAM2019_ENDO_3,RAM2019_ENDO_7_SAENDO2,39,56,1,0.010638297872340425,0.02564102564102564
endothelial,RAM2019_ENDO_4,RAM2019_ENDO_4,88,88,88,1.0,1.0
endothelial,RAM2019_ENDO_4,RAM2019_ENDO_5,88,50,3,0.022222222222222223,0.06
endothelial,RAM2019_ENDO_4,RAM2019_ENDO_6_SAENDO1,88,12,0,0.0,0.0
endothelial,RAM2019_ENDO_4,RAM2019_ENDO_7_SAENDO2,88,56,0,0.0,0.0
endothelial,RAM2019_ENDO_5,RAM2019_ENDO_5,50,50,50,1.0,1.0
endothelial,RAM2019_ENDO_5,RAM2019_ENDO_6_SAENDO1,50,12,2,0.03333333333333333,0.16666666666666666
endothelial,RAM2019_ENDO_5,RAM2019_ENDO_7_SAENDO2,50,56,0,0.0,0.0
endothelial,RAM2019_ENDO_6_SAENDO1,RAM2019_ENDO_6_SAENDO1,12,12,12,1.0,1.0
endothelial,RAM2019_ENDO_6_SAENDO1,RAM2019_ENDO_7_SAENDO2,12,56,0,0.0,0.0
endothelial,RAM2019_ENDO_7_SAENDO2,RAM2019_ENDO_7_SAENDO2,56,56,56,1.0,1.0
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,RAM2019_MAC_SIG_A_SAM,66,66,66,1.0,1.0
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,RAM2019_MAC_SIG_B_SAM,66,679,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,RAM2019_MAC_SIG_C_KC,66,332,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,RAM2019_MAC_SIG_D_TMO,66,330,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,RAM2019_MAC_SIG_E_TMO,66,269,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,RAM2019_MAC_SIG_F_CDC1,66,130,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,RAM2019_MAC_SIG_B_SAM,679,679,679,1.0,1.0
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,RAM2019_MAC_SIG_C_KC,679,332,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,RAM2019_MAC_SIG_D_TMO,679,330,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,RAM2019_MAC_SIG_E_TMO,679,269,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,RAM2019_MAC_SIG_F_CDC1,679,130,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,RAM2019_MAC_SIG_C_KC,332,332,332,1.0,1.0
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,RAM2019_MAC_SIG_D_TMO,332,330,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,RAM2019_MAC_SIG_E_TMO,332,269,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,RAM2019_MAC_SIG_F_CDC1,332,130,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,RAM2019_MAC_SIG_D_TMO,330,330,330,1.0,1.0
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,RAM2019_MAC_SIG_E_TMO,330,269,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,RAM2019_MAC_SIG_F_CDC1,330,130,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,RAM2019_MAC_SIG_E_TMO,269,269,269,1.0,1.0
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,RAM2019_MAC_SIG_F_CDC1,269,130,0,0.0,0.0
macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,RAM2019_MAC_SIG_F_CDC1,130,130,130,1.0,1.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,RAM2019_MES_HSC,5,5,5,1.0,1.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,RAM2019_MES_MESOTHELIAL,5,444,1,0.002232142857142857,0.2
