lineage,cluster_order,program_id
endothelial,1,RAM2019_ENDO_5
endothelial,2,RAM2019_ENDO_6_SAENDO1
endothelial,3,RAM2019_ENDO_3
endothelial,4,RAM2019_ENDO_1
endothelial,5,RAM2019_ENDO_4
endothelial,6,RAM2019_ENDO_2
endothelial,7,RAM2019_ENDO_7_SAENDO2
macrophage_monocyte,1,RAM2019_MAC_SIG_F_CDC1
macrophage_monocyte,2,RAM2019_MAC_SIG_E_TMO
macrophage_monocyte,3,RAM2019_MAC_SIG_D_TMO
macrophage_monocyte,4,RAM2019_MAC_SIG_C_KC
macrophage_monocyte,5,RAM2019_MAC_SIG_A_SAM
macrophage_monocyte,6,RAM2019_MAC_SIG_B_SAM
mesenchymal_hsc_myofibroblast,1,RAM2019_MES_HSC
mesenchymal_hsc_myofibroblast,2,RAM2019_MES_MESOTHELIAL
mesenchymal_hsc_myofibroblast,3,RAM2019_MES_SAMES
mesenchymal_hsc_myofibroblast,4,RAM2019_SAMES_B
mesenchymal_hsc_myofibroblast,5,RAM2019_MES_VSMC
mesenchymal_hsc_myofibroblast,6,RAM2019_SAMES_A
