lineage,pathway_name,direction,significant_contexts,contexts,median_nes,minimum_absolute_nes
mesenchymal_hsc_myofibroblast,Xenobiotics,negative,4,GSE244832::mash_f2f4_group_vs_normal_sensitivity;GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.3580297755498894,2.33177408820763
mesenchymal_hsc_myofibroblast,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,negative,4,GSE244832::mash_f2f4_group_vs_normal_sensitivity;GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.3276083875589215,2.127502084132928
macrophage_monocyte,Aspirin ADME,negative,4,GSE244832::mash_f2f4_group_vs_normal_sensitivity;GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.197392887342407,2.050390558892464
mesenchymal_hsc_myofibroblast,Phase I - Functionalization of compounds,negative,4,GSE244832::mash_f2f4_group_vs_normal_sensitivity;GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.2032418654298116,1.9563334707470261
mesenchymal_hsc_myofibroblast,Cytochrome P450 - arranged by substrate type,negative,4,GSE244832::mash_f2f4_group_vs_normal_sensitivity;GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.117702746799524,1.8932513849981984
macrophage_monocyte,Drug ADME,negative,4,GSE244832::mash_f2f4_group_vs_normal_sensitivity;GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.2509774007730137,1.803712789354943
macrophage_monocyte,FASTK family proteins regulate processing and stability of mitochondrial RNAs,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.2813202523059197,2.269179132007382
mesenchymal_hsc_myofibroblast,FASTK family proteins regulate processing and stability of mitochondrial RNAs,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.320605512795363,2.2580251935343765
mesenchymal_hsc_myofibroblast,tRNA processing in the mitochondrion,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.3266196896423446,2.252852800241825
macrophage_monocyte,Mitochondrial RNA degradation,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.3299873111571414,2.2317074952857405
macrophage_monocyte,Eukaryotic Translation Elongation,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.3506132261507093,2.1276740207662703
mesenchymal_hsc_myofibroblast,Mitochondrial RNA degradation,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.2342424230961555,2.1251599083972668
macrophage_monocyte,Metabolism of amino acids and derivatives,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.2524250644353767,2.124447403239446
macrophage_monocyte,Peptide chain elongation,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.3642074497273744,2.1144119922954014
macrophage_monocyte,SRP-dependent cotranslational protein targeting to membrane,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.213660331933242,2.1064561766108687
macrophage_monocyte,Eukaryotic Translation Termination,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.4102472686034626,2.0993686940658436
macrophage_monocyte,Selenocysteine synthesis,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.3137812565391904,2.0985588106705126
macrophage_monocyte,Selenoamino acid metabolism,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.437497223067156,2.0963201090696018
macrophage_monocyte,Phase I - Functionalization of compounds,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.1279991801810083,2.089778094904572
macrophage_monocyte,Respiratory electron transport,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.12975445020078,2.0874529259518715
macrophage_monocyte,Aerobic respiration and respiratory electron transport,negative,3,GSE256398_human::alcohol_cirrhosis_vs_healthy;GSE256398_human::mash_cirrhosis_vs_healthy;GSE256398_human::mash_fibrosis_vs_masld_f0,-2.120127175488394,2.0800017236626536
