program_id,lineage,frozen_equal_weight_total,rank_median,rank_ci95_low,rank_ci95_high,top_one_probability,top_three_probability,top_five_probability,score_median,score_ci95_low,score_ci95_high,dirichlet_alpha_each_domain,weight_draws
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,64.63426607756504,1.0,1.0,6.0,0.66432,0.8375,0.95354,66.77804854548688,31.59458463554163,87.09439660730847,1.0,100000
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,63.18181818181817,2.0,2.0,10.0,0.0,0.7056,0.78488,65.37024619202947,30.98699053667268,85.24018286656224,1.0,100000
RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,56.9481981981982,5.0,3.0,10.0,0.0,0.12586,0.74885,57.87352625034282,25.032669221433242,83.80800669647041,1.0,100000
RAM2019_ENDO_6_SAENDO1,endothelial,56.0,5.0,1.0,7.0,0.2184,0.41491,0.65256,57.119310248096426,17.9980549057692,88.31406066698825,1.0,100000
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,57.538461538461526,4.0,3.0,8.0,0.0,0.39399,0.65172,58.363366856722344,26.39719541096967,83.92896900608453,1.0,100000
RAM2019_ENDO_5,endothelial,54.6,6.0,2.0,8.0,0.0,0.25289,0.3902,55.719252737809086,17.538825361615235,85.97035588675142,1.0,100000
RAM2019_ENDO_2,endothelial,52.77777777777778,8.0,1.0,13.0,0.11728,0.21335,0.30137,53.779174688304145,23.417779535374983,76.34830844951051,1.0,100000
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,50.842627013630725,9.0,4.0,15.0,0.0,0.0,0.29279,50.35505758045595,22.284031820464122,80.72530559710445,1.0,100000
RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,53.17857142857143,8.0,3.0,9.0,0.0,0.05353,0.20034,54.18009119537503,17.072365441433515,84.42687257569037,1.0,100000
RAM2019_ENDO_4,endothelial,50.18181818181818,9.0,6.0,11.0,0.0,0.0,0.01066,50.70168769947738,15.891358499015446,82.3856011288007,1.0,100000
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,38.67469879518072,16.0,8.0,19.0,0.0,0.0017,0.00697,37.20115197038386,6.531189715925844,78.21930767465793,1.0,100000
RAM2019_ENDO_3,endothelial,44.71794871794872,13.0,10.0,14.0,0.0,0.00012,0.00282,44.938998405104314,14.04955870718182,74.47895474449452,1.0,100000
RAM2019_ENDO_7_SAENDO2,endothelial,41.33928571428572,15.0,12.0,16.0,0.0,0.00012,0.00163,40.914734639887065,12.551908124062052,71.95380629428836,1.0,100000
RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,34.09090909090909,18.0,14.0,18.0,0.0,0.00043,0.00116,32.66916672692929,9.663957677822777,66.00815248375609,1.0,100000
RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,45.889830508474574,12.0,9.0,15.0,0.0,0.0,0.00051,46.5753946502811,14.629442067659339,73.85537008412467,1.0,100000
RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,46.27659574468085,12.0,10.0,17.0,0.0,0.0,0.0,46.359761801500426,14.359476770887563,78.21007705314105,1.0,100000
RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,44.0,13.0,11.0,19.0,0.0,0.0,0.0,44.0183864221688,13.638865166925665,75.50976055869133,1.0,100000
RAM2019_ENDO_1,endothelial,34.625,17.0,15.0,18.0,0.0,0.0,0.0,33.3781186287971,9.496630546924838,66.07665212820586,1.0,100000
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,28.666666666666664,19.0,16.0,19.0,0.0,0.0,0.0,27.86480442992135,8.567676581905113,53.53975420137602,1.0,100000
