dataset_id,contrast,program_id,lineage,score_method,n_control,n_case,unadjusted_standardized_beta,unadjusted_hc3_low,unadjusted_hc3_high,unadjusted_p,adjusted_standardized_beta,adjusted_hc3_low,adjusted_hc3_high,adjusted_p,sign_retained,magnitude_retention_ratio,adjusted_fdr_within_context_method
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_1,endothelial,singscore,5,9,-0.5075289219625188,-1.3854794064988059,0.37042156257376835,0.2571957005857297,-0.9719814528352764,-1.9562592568075776,0.012296351137024875,0.052927230182834524,True,1.9151252485805286,0.24816326707681327
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_1,endothelial,standardized_mean,5,9,-0.597560828268856,-1.4522855325158184,0.2571638759781062,0.17059693793439434,-0.9854792078812071,-1.9514718005000677,-0.019486615262346407,0.04555013535441793,True,1.6491696932949191,0.22869488593859896
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_2,endothelial,singscore,5,9,1.174296267002595,0.3601691695659932,1.9884233644391967,0.004697130285050279,1.1543616468938758,0.2531724784243471,2.0555508153634046,0.012051735340657977,True,0.9830241986891413,0.08034723635556483
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_2,endothelial,standardized_mean,5,9,1.0365027906995214,0.08749852812343761,1.9855070532756054,0.03229721435828614,1.1271639289389086,-0.05495744942846459,2.309285307306282,0.06163971165549376,True,1.0874683011496777,0.22869488593859896
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_3,endothelial,singscore,5,9,0.8192614437938288,-0.14056447235583147,1.779087359943489,0.09433474716102538,0.3160645170580514,-0.9680612961145589,1.6001903302306617,0.6295084577612314,True,0.3857920074871613,0.8226935024465869
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_3,endothelial,standardized_mean,5,9,0.2044846928893031,-0.7661659843533668,1.175135370131973,0.6796735906633082,-0.19250283124887022,-1.6770381478827165,1.2920324853849763,0.7993740053346813,False,0.9414046035860532,0.9116389481082339
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_4,endothelial,singscore,5,9,0.5498769834681323,-0.45532016986956325,1.5550741368058278,0.28363624153030254,0.20623524852541378,-0.6298447118588114,1.042315208909639,0.6287607750004747,True,0.3750570668091366,0.8226935024465869
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_4,endothelial,standardized_mean,5,9,0.1863709010683097,-0.7930694266212662,1.1658112287578857,0.7091820892254062,-0.06633071121118363,-0.9801340060662865,0.8474725836439193,0.8868655325690906,False,0.3559070156927112,0.9116389481082339
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_5,endothelial,singscore,5,9,0.9546836285055016,-0.061896459569240614,1.9712637165802438,0.06567116735175879,1.1488333181112118,-0.16707276039760477,2.464739396620028,0.08705333947518853,True,1.203365475020913,0.24816326707681327
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_5,endothelial,standardized_mean,5,9,0.7584083449086638,-0.3276992786876185,1.8445159685049461,0.1711147083145529,1.1465031677281103,-0.15505225017195068,2.4480585856281714,0.08425601060895752,True,1.5117227749731383,0.22869488593859896
