dataset_a,state_a,dataset_b,state_b,lineage,common_nonprogram_genes,marker_effect_spearman_rho,top50_shared_markers,top50_marker_jaccard,shared_markers,supported_match
GSE202379,cluster_0,GSE244832,cluster_13,endothelial,23234,0.01776599054670685,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_15,endothelial,23234,0.045306795060291276,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_17,endothelial,23234,0.03874154396848029,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_2,endothelial,23234,0.0017129280562287758,0,0.0,,False
GSE202379,cluster_0,GSE244832,cluster_8,endothelial,23234,-0.03733806259540756,1,0.010101010101010102,SLCO2A1,False
GSE202379,cluster_1,GSE244832,cluster_13,endothelial,23234,-0.0064285699184561135,0,0.0,,False
GSE202379,cluster_1,GSE244832,cluster_15,endothelial,23234,0.03810814984061353,1,0.010101010101010102,PCLO,False
GSE202379,cluster_1,GSE244832,cluster_17,endothelial,23234,0.01684334636634843,0,0.0,,False
GSE202379,cluster_1,GSE244832,cluster_2,endothelial,23234,-0.003235141948118053,0,0.0,,False
GSE202379,cluster_1,GSE244832,cluster_8,endothelial,23234,-0.04245535524170585,1,0.010101010101010102,FAM13C,False
GSE202379,cluster_10,GSE244832,cluster_13,endothelial,23234,-0.022662738550747966,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_15,endothelial,23234,-0.0309900389668702,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_17,endothelial,23234,0.022307719485282387,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_2,endothelial,23234,0.017118242577287696,0,0.0,,False
GSE202379,cluster_10,GSE244832,cluster_8,endothelial,23234,0.011811796122563984,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_13,endothelial,23234,0.012345003874830984,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_15,endothelial,23234,-0.0014542173578911445,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_17,endothelial,23234,-0.01236615650269127,0,0.0,,False
GSE202379,cluster_11,GSE244832,cluster_2,endothelial,23234,0.08329560542778784,2,0.02040816326530612,FGF23;RENBP,False
GSE202379,cluster_11,GSE244832,cluster_8,endothelial,23234,-0.001768351106617797,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_13,endothelial,23234,-0.0007700581493271091,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_15,endothelial,23234,-0.0010391305789500117,1,0.010101010101010102,GAS7,False
GSE202379,cluster_12,GSE244832,cluster_17,endothelial,23234,-0.0018502174441169892,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_2,endothelial,23234,-0.015163364618257062,0,0.0,,False
GSE202379,cluster_12,GSE244832,cluster_8,endothelial,23234,0.010981452401180676,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_13,endothelial,23234,-0.01572285026378469,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_15,endothelial,23234,0.0634208857348597,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_17,endothelial,23234,0.033429722370098926,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_2,endothelial,23234,0.02407623341648215,0,0.0,,False
GSE202379,cluster_13,GSE244832,cluster_8,endothelial,23234,-0.06687167482564499,1,0.010101010101010102,CHRM3,False
GSE202379,cluster_15,GSE244832,cluster_13,endothelial,23234,0.06852423432486689,6,0.06382978723404255,ANO2;BNC2;CELF4;ENTPD1;PLCXD3;TLL1,False
GSE202379,cluster_15,GSE244832,cluster_15,endothelial,23234,-0.004722719066714434,3,0.030927835051546393,EFNA5;FAM155A;LINC02147,False
GSE202379,cluster_15,GSE244832,cluster_17,endothelial,23234,-0.034695152319608985,0,0.0,,False
GSE202379,cluster_15,GSE244832,cluster_2,endothelial,23234,-0.09932506714106334,1,0.010101010101010102,FGF23,False
GSE202379,cluster_15,GSE244832,cluster_8,endothelial,23234,0.08349630615915159,12,0.13636363636363635,ADAMTS6;ANO2;CD34;CHRM3;CNTN5;ENTPD1;IGFBP5;LINC00639;MECOM;NAV3;SLCO2A1;VEGFC,True
GSE202379,cluster_16,GSE244832,cluster_13,endothelial,23234,0.05840751169803602,0,0.0,,False
GSE202379,cluster_16,GSE244832,cluster_15,endothelial,23234,-0.0705549547290624,0,0.0,,False
GSE202379,cluster_16,GSE244832,cluster_17,endothelial,23234,0.029034155420908637,0,0.0,,False
GSE202379,cluster_16,GSE244832,cluster_2,endothelial,23234,0.06092332667706716,5,0.05263157894736842,FGF23;HS3ST3A1;IL13RA2;MS4A4E;RENBP,False
