gene_set_id,score_method,donor_id,scar_score,parenchyma_score,scar_minus_parenchyma
Endo2_primary,standardized_mean,A1,0.5993100017102453,-0.7326473941308981,1.3319573958411435
Endo2_primary,standardized_mean,A2,0.4462181947616317,-1.0140773133414827,1.4602955081031144
Endo2_primary,standardized_mean,B1,0.16420101327313708,-0.5657685393618506,0.7299695526349876
Endo2_primary,standardized_mean,B2,0.5938331839064606,-1.0628515118939938,1.6566846958004544
Endo2_primary,standardized_mean,C1,0.5469539004475183,-0.5029730019337001,1.0499269023812183
Endo2_primary,standardized_mean,C2,1.2144632106740356,-0.607090113629699,1.8215533243037347
Endo2_primary,standardized_mean,D1,0.45478531819004564,-0.24530215728820032,0.700087475478246
Endo2_primary,standardized_mean,D2,0.8832060686238614,-0.1722608600071125,1.055466928630974
Endo2_primary,singscore,A1,0.27290751933294605,0.24803675506011036,0.024870764272835688
Endo2_primary,singscore,A2,0.2836267468537165,0.2234774743475318,0.06014927250618474
Endo2_primary,singscore,B1,0.27894850338139365,0.2496241232037282,0.02932438017766545
Endo2_primary,singscore,B2,0.29252499356067646,0.21253361925926814,0.07999137430140832
Endo2_primary,singscore,C1,0.2820693290524311,0.2336366304666862,0.04843269858574489
Endo2_primary,singscore,C2,0.3055563875095092,0.257093738581432,0.04846264892807722
Endo2_primary,singscore,D1,0.2651024601211192,0.26475803118429647,0.00034442893682273823
Endo2_primary,singscore,D2,0.29405246101962945,0.25587775468273605,0.038174706336893405
SAEndo1_primary,standardized_mean,A1,1.1335650668464963,-1.0572014785145174,2.1907665453610137
SAEndo1_primary,standardized_mean,A2,0.9950523270144241,-0.5082925024132375,1.5033448294276617
SAEndo1_primary,standardized_mean,B1,0.08745010516101333,-0.40782724100633916,0.4952773461673525
SAEndo1_primary,standardized_mean,B2,0.37532296007895993,-1.013662951385839,1.388985911464799
SAEndo1_primary,standardized_mean,C1,0.27401554087777913,-0.7474152494264688,1.0214307903042479
SAEndo1_primary,standardized_mean,C2,0.8469412264097226,-0.6552574166563891,1.5021986430661118
SAEndo1_primary,standardized_mean,D1,0.18230460345034766,-0.6504816548797975,0.8327862583301451
SAEndo1_primary,standardized_mean,D2,0.9812779036943924,0.16420876074945023,0.8170691429449422
SAEndo1_primary,singscore,A1,0.43261352677261106,0.3802675164577131,0.05234601031489794
