spatial_study,gene_set_id,sample_id,scar_cluster,top100_hit_count,hit_genes,hit_ranks
Hammond_2025_PMC12162837,Endo2_primary,A,A6,2,TFF3;EFEMP1,43;56
Hammond_2025_PMC12162837,Endo2_primary,B,B6,0,,
Hammond_2025_PMC12162837,Endo2_primary,C,C5,0,,
Hammond_2025_PMC12162837,Endo2_primary,D,D3,0,,
Hammond_2025_PMC12162837,Endo2_primary,E,E2,1,EFEMP1,62
Hammond_2025_PMC12162837,Endo2_primary,F,F2,0,,
Hammond_2025_PMC12162837,Endo2_primary,G,G1,0,,
Hammond_2025_PMC12162837,SAEndo1_primary,A,A6,0,,
Hammond_2025_PMC12162837,SAEndo1_primary,B,B6,0,,
Hammond_2025_PMC12162837,SAEndo1_primary,C,C5,2,PLVAP;GSN,67;88
Hammond_2025_PMC12162837,SAEndo1_primary,D,D3,0,,
Hammond_2025_PMC12162837,SAEndo1_primary,E,E2,0,,
Hammond_2025_PMC12162837,SAEndo1_primary,F,F2,0,,
Hammond_2025_PMC12162837,SAEndo1_primary,G,G1,0,,
Hammond_2025_PMC12162837,Endo2_secondary,A,A6,5,VIM;S100A6;SNCG;TFF3;EFEMP1,17;32;35;43;56
Hammond_2025_PMC12162837,Endo2_secondary,B,B6,3,VIM;S100A6;LAPTM5,32;37;97
Hammond_2025_PMC12162837,Endo2_secondary,C,C5,2,S100A6;VIM,33;75
Hammond_2025_PMC12162837,Endo2_secondary,D,D3,1,S100A6,13
Hammond_2025_PMC12162837,Endo2_secondary,E,E2,3,S100A6;VIM;EFEMP1,2;9;62
Hammond_2025_PMC12162837,Endo2_secondary,F,F2,2,S100A6;VIM,20;27
Hammond_2025_PMC12162837,Endo2_secondary,G,G1,3,VIM;S100A6;LAPTM5,11;14;51
Hammond_2025_PMC12162837,SAEndo1_secondary,A,A6,0,,
Hammond_2025_PMC12162837,SAEndo1_secondary,B,B6,0,,
Hammond_2025_PMC12162837,SAEndo1_secondary,C,C5,2,PLVAP;GSN,67;88
Hammond_2025_PMC12162837,SAEndo1_secondary,D,D3,0,,
Hammond_2025_PMC12162837,SAEndo1_secondary,E,E2,0,,
Hammond_2025_PMC12162837,SAEndo1_secondary,F,F2,0,,
Hammond_2025_PMC12162837,SAEndo1_secondary,G,G1,0,,
