dataset_id,contrast,lineage,source_state,program_id,score_method,cell_gate,analysis_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,effect_status
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_1,singscore,30,primary,3,3,0.8022779337404096,0.7179103876666417,-0.08436754607376784,0.0888746331952805,-0.7594297093830189,0.7999999999999996,-2.327429709383018,0.8085702906169803,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_1,singscore,20,sensitivity,3,3,0.8022779337404096,0.7179103876666417,-0.08436754607376784,0.0888746331952805,-0.7594297093830189,0.7999999999999996,-2.327429709383018,0.8085702906169803,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_1,standardized_mean,30,primary,3,3,0.15828448570535433,-0.5349592407488691,-0.6932437264542235,0.6356817110153148,-0.8724413044345357,0.7999999999999996,-2.4404413044345348,0.6955586955654635,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_1,standardized_mean,20,sensitivity,3,3,0.15828448570535433,-0.5349592407488691,-0.6932437264542235,0.6356817110153148,-0.8724413044345357,0.7999999999999996,-2.4404413044345348,0.6955586955654635,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_2,singscore,30,primary,3,3,0.2890367222420073,0.20164500822777298,-0.08739171401423435,0.0838970173158532,-0.8333236800085458,0.7999999999999994,-2.4013236800085447,0.7346763199914529,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_2,singscore,20,sensitivity,3,3,0.2890367222420073,0.20164500822777298,-0.08739171401423435,0.0838970173158532,-0.8333236800085458,0.7999999999999994,-2.4013236800085447,0.7346763199914529,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_2,standardized_mean,30,primary,3,3,-0.01227406807265724,-0.35939865239327773,-0.3471245843206205,0.4886304461889498,-0.5683224809718712,0.7999999999999994,-2.13632248097187,0.9996775190281275,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_2,standardized_mean,20,sensitivity,3,3,-0.01227406807265724,-0.35939865239327773,-0.3471245843206205,0.4886304461889498,-0.5683224809718712,0.7999999999999994,-2.13632248097187,0.9996775190281275,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_3,singscore,30,primary,3,3,0.49883621610079004,0.5045711630913424,0.005734946990552381,0.06600947481945527,0.0695045310539219,0.7999999999999998,-1.4984954689460777,1.6375045310539216,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_3,singscore,20,sensitivity,3,3,0.49883621610079004,0.5045711630913424,0.005734946990552381,0.06600947481945527,0.0695045310539219,0.7999999999999998,-1.4984954689460777,1.6375045310539216,ESTIMATED
