dataset_id,contrast,lineage,comparison_group,donors_before_cell_gate,donors_primary_30,donors_sensitivity_20,minimum_cells,median_cells,maximum_cells,formal_primary_gate,formal_sensitivity_gate
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,control,4,4,4,74,289.0,927,PASS,PASS
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,case,4,4,4,39,215.0,301,PASS,PASS
GSE202379,clinical_cirrhosis_vs_healthy,macrophage_monocyte,control,4,3,3,8,68.5,218,FAIL,FAIL
GSE202379,clinical_cirrhosis_vs_healthy,macrophage_monocyte,case,4,1,2,10,18.5,39,FAIL,FAIL
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,control,4,3,3,16,46.5,252,FAIL,PASS
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,case,4,2,4,26,40.0,95,FAIL,PASS
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,control,5,5,5,45,132.0,927,PASS,PASS
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,case,16,15,15,7,125.5,553,PASS,PASS
GSE202379,advanced_f3f4_vs_f0_non_end_stage,macrophage_monocyte,control,5,2,2,1,8.0,218,FAIL,FAIL
GSE202379,advanced_f3f4_vs_f0_non_end_stage,macrophage_monocyte,case,16,5,9,2,21.0,250,FAIL,FAIL
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,control,5,3,3,5,31.0,252,PASS,PASS
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,case,16,7,12,7,27.0,216,PASS,PASS
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,control,4,4,4,74,289.0,927,PASS,PASS
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,case,5,5,5,157,343.0,907,PASS,PASS
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,control,4,3,3,8,68.5,218,PASS,PASS
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,case,5,5,5,89,192.0,344,PASS,PASS
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,control,4,3,3,16,46.5,252,PASS,PASS
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,case,5,5,5,101,137.0,327,PASS,PASS
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,control,5,5,5,45,132.0,927,PASS,PASS
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,case,37,34,35,7,141.0,603,PASS,PASS
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,macrophage_monocyte,control,5,2,2,1,8.0,218,FAIL,FAIL
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,macrophage_monocyte,case,37,18,25,2,29.0,250,FAIL,FAIL
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,control,5,3,3,5,31.0,252,PASS,PASS
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,case,37,21,29,1,35.0,216,PASS,PASS
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,control,5,5,5,45,132.0,927,PASS,PASS
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,case,21,20,20,7,144.0,907,PASS,PASS
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,macrophage_monocyte,control,5,2,2,1,8.0,218,FAIL,FAIL
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,macrophage_monocyte,case,21,10,14,2,29.0,344,FAIL,FAIL
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,control,5,3,3,5,31.0,252,PASS,PASS
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,case,21,12,17,7,52.0,327,PASS,PASS
