dataset_id,program_id,lineage,n_program_genes,n_detected,coverage,coverage_tier,missing_genes
GSE210077_Watson6,RAM2019_ENDO_1,endothelial,80,72,0.9,primary,CFP;F8;HSPA1B;IGHA1;SDPR;SEPP1;TIMP1;TSPAN7
GSE210077_Watson6,RAM2019_ENDO_2,endothelial,45,37,0.8222222222222222,primary,ATP5E;C4ORF48;ECSCR.1;FABP4;LGALS1;NTS;PTX3;TFF3
GSE210077_Watson6,RAM2019_ENDO_3,endothelial,39,35,0.8974358974358975,primary,SCGB3A1;SRPX;TSPAN7;WBP5
GSE210077_Watson6,RAM2019_ENDO_4,endothelial,88,75,0.8522727272727273,primary,AP1S2;C8ORF4;FAM167B;LHX6;LY6E;LYPD2;NTS;PLA2G16;SDPR;SRPX;TFF3;TIMP1;TIMP3
GSE210077_Watson6,RAM2019_ENDO_5,endothelial,50,45,0.9,primary,H3F3B;PRKCDBP;PTRF;SEMA3G;TIMP3
GSE210077_Watson6,RAM2019_ENDO_6_SAENDO1,endothelial,12,12,1.0,primary,
GSE210077_Watson6,RAM2019_ENDO_7_SAENDO2,endothelial,56,50,0.8928571428571429,primary,ACKR1;RPL10;RPL3;RPL36A;RPL39;RPS4X
GSE210077_Watson6,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,66,51,0.7727272727272727,evaluable_flagged,ANKRD22;ASCL2;C10ORF11;CCR2;CST6;FABP4;FCGBP;GAL3ST4;OLR1;RP11-467L13.7;RP11-472N13.3;RP11-796E2.4;TLR7;TNFAIP8L2;TREM2
GSE210077_Watson6,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,679,578,0.8512518409425626,primary,AP1S2;ATF4;ATP5D;ATP5E;ATP5G2;ATP5I;ATP5J2;ATP5L;ATP6AP2;ATRX;BCAP31;C10ORF54;C14ORF2;C19ORF43;C20ORF24;C6ORF48;C7ORF73;C9ORF16;CCDC109B;CD1C;CLEC4A;CSF2RA;CTD-3252C9.4;CXORF21;EIF1AX;EIF2S3;EIF3D;EIF3L;FAM26F;FCER1A;FLNA;FYB;GAPT;GLA;GLTSCR2;GNB2L1;H1FX;H3F3A;H3F3B;HCST;HLA-DQA2;IGBP1;IGHA1;IGHG1;IGHG3;IGHM;IGKC;IGLC3;IL13RA1;IL1B;IL2RG;LGALS1;LGALS2;LTB;LY6E;MSN;MTRNR2L1;MYEOV2;NAA10;PLD4;PLP2;PQBP1;PTRHD1;PYCARD;QARS;RAC2;RARRES3;RBM3;RNASE6;ROMO1;RP5-1171I10.5;RPL10;RPL3;RPL36A;RPL39;RPS4X;RPS4Y1;RTFDC1;S100A4;SELK;SELT;SEPT2;SEPT6;SEPT9;SF3B5;SH3KBP1;SLC25A5;SLC25A6;SMDT1;SNU13;ST13;SYAP1;TCEB2;TIMP1;TMEM173;TMSB4X;TSC22D3;TSPO;VMA21;WAS;XIST
GSE210077_Watson6,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,332,298,0.8975903614457831,primary,CCL8;CD68;CECR1;CFP;CYBB;DDX3X;FAM198B;FAM49A;GPR34;HCAR3;HMOX1;HSPA1B;HSPB1;IFI6;LAMP2;LINC00998;MESDC1;MPP1;MT-ATP6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;SAT1;SEPP1;SMS;TMEM2;VSIG4
GSE210077_Watson6,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,330,242,0.7333333333333333,evaluable_flagged,AMY2A;ANKRD65;AP006222.2;APITD1;C1ORF233;CCBL2;CCDC163P;CDC20;CPSF3L;CTRC;CYR61;DEPDC1;E2F2;FAM110D;FAM159A;FAM213B;FAM69A;FLJ27354;FLJ37453;FO538757.2;HNRNPCL1;HNRNPCL2;HNRNPCL3;KIAA1107;KTI12;LINC00337;MMEL1;NPPA-AS1;PIFO;PLA2G2D;PLEKHN1;PQLC2;RP1-125I3.2;RP1-187B23.1;RP1-202O8.3;RP1-224A6.3;RP1-43E13.2;RP11-108M9.4;RP11-108M9.6;RP11-1143G9.4;RP11-206L10.9;RP11-242F24.1;RP11-244H3.4;RP11-31F15.2;RP11-345P4.7;RP11-345P4.9;RP11-426L16.3;RP11-475O6.1;RP11-486G15.2;RP11-547D24.1;RP11-54O7.1;RP11-54O7.17;RP11-70P17.1;RP11-96K19.5;RP3-395M20.12;RP3-395M20.8;RP3-395M20.9;RP4-549L20.3;RP4-561L24.3;RP4-594I10.3;RP4-635E18.7;RP4-635E18.8;RP4-669L17.10;RP4-706G24.1;RP4-758J18.13;RP4-773N10.4;RP4-798A10.2;RP4-798A10.7;RP4-799D16.1;RP5-1092A3.4;RP5-1092A3.5;RP5-1115A15.1;RP5-1180E21.4;RP5-832C2.5;RP5-892K4.1;RSG1;S100A12;S100A8;SETSIP;SLC35E2;SMIM1;TCEB3-AS1;TCTEX1D1;TMEM56;TNFRSF18;TNFRSF4;UBXN10-AS1;ZNF683
GSE210077_Watson6,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,269,220,0.8178438661710037,primary,ADRBK1;ADSS;AIM1;APOBEC3A;C11ORF21;CD300C;CD300LF;CD79B;CDC42EP2;CHST2;CTB-61M7.2;CTC-479C5.12;CTD-2006K23.1;FAM45A;FAM65B;G6PD;GK;HLA-G;ICAM4;IFITM1;IL3RA;KIAA0922;LILRA1;LILRA2;LINC00936;LINC01272;LYPD2;MCEMP1;MTRNR2L12;MYH9;NACA2;NHSL2;ODF3B;PLXNB2;PPP1R17;PTP4A3;PTX3;RETN;RNASE2;RP11-1008C21.1;RP11-362F19.1;RP11-83A24.2;RP6-159A1.4;S1PR4;SASH3;SUN2;TMEM189;WARS;ZCCHC6
GSE210077_Watson6,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,130,106,0.8153846153846154,primary,AC093673.5;ACO2;AES;APOL3;ASB2;C10ORF128;C3ORF58;CBX6;CTB-113D17.1;CXCR3;CYB5R3;EMD;FAM60A;GCSAM;HLA-DOB;HNRNPA1L2;KIAA0226L;MCM5;METTL12;MPST;MSL3;S100B;TRABD;UPK3A
GSE210077_Watson6,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,5,3,0.6,evaluable_flagged,FABP4;LHFP
GSE210077_Watson6,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,444,375,0.8445945945945946,primary,AC004556.1;ALKBH7;ANXA8;ANXA8L1;ATP5E;BEX2;C14ORF2;C19ORF33;C20ORF24;C4ORF48;C7ORF73;CA12;CALB2;CCDC109B;CD99;CH17-360D5.2;CHRDL1;CLIC3;CPXM1;DES;EGFL6;EVA1B;FAM96A;GNB2L1;GPC3;HAS1;IFI6;IGFBP6;ITLN1;KLK11;LINC00162;LOX;LY6E;MCTS1;MDK;MEDAG;MESDC2;MFAP2;MPST;MSLN;OSR1;PDLIM4;PDZK1IP1;PLA2G16;PLP2;PRDX4;PVRL2;PYCARD;RARRES3;RP11-420N3.2;RPL10;RPL3;RPL36A;RPL39;RPS4X;RPS4Y1;SAT1;SDF2L1;SEPP1;SSR4;TCEAL2;TIMP1;TMEM160;TMSB4X;UPK1B;UXT;WBP5;WFDC2;WT1
GSE210077_Watson6,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,140,127,0.9071428571428571,primary,BGN;CYR61;DPT;FBLN1;IFITM1;IGFBP6;LY6E;RPL39;SRPX;TCEAL4;THY1;TIMP1;WBP5
