dataset_id,program_id,lineage,n_program_genes,n_detected,coverage,coverage_tier,missing_genes
GSE244832,RAM2019_ENDO_1,endothelial,80,76,0.95,primary,CTSD;GPX1;SDPR;SEPP1
GSE244832,RAM2019_ENDO_2,endothelial,45,43,0.9555555555555556,primary,ATP5E;ECSCR.1
GSE244832,RAM2019_ENDO_3,endothelial,39,38,0.9743589743589743,primary,WBP5
GSE244832,RAM2019_ENDO_4,endothelial,88,86,0.9772727272727273,primary,C8ORF4;SDPR
GSE244832,RAM2019_ENDO_5,endothelial,50,48,0.96,primary,PRKCDBP;PTRF
GSE244832,RAM2019_ENDO_6_SAENDO1,endothelial,12,12,1.0,primary,
GSE244832,RAM2019_ENDO_7_SAENDO2,endothelial,56,55,0.9821428571428571,primary,RPL36A
GSE244832,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,66,58,0.8787878787878788,primary,APOC2;C10ORF11;CST6;PIGS;RP11-467L13.7;RP11-472N13.3;RP11-796E2.4;TNFAIP8L2
GSE244832,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,679,642,0.9455081001472754,primary,ALDOA;ARPC1A;ATP5D;ATP5E;ATP5G2;ATP5I;ATP5J2;ATP5L;C10ORF54;C14ORF2;C19ORF43;C20ORF24;C7ORF73;CCDC109B;CHMP1B;COX8A;CTD-3252C9.4;FAM26F;FYB;GLTSCR2;GNB2L1;HIGD2A;IFI30;IL2RG;LIMD2;MYEOV2;NDUFC2;OAZ1;POLR2J3;RP5-1171I10.5;RPL36A;RPS10;RTFDC1;SELK;SELT;SPN;TCEB2
GSE244832,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,332,322,0.9698795180722891,primary,CCL3L3;CECR1;CTSD;CYBB;GPX1;LINC00998;MESDC1;MS4A7;SEPP1;TMEM2
GSE244832,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,330,264,0.8,primary,ALDH4A1;AP006222.2;APITD1;BEND5;C1ORF233;CCBL2;CCDC163P;CPSF3L;FAM159A;FLJ27354;FLJ37453;FO538757.2;HNRNPCL2;HNRNPCL3;KIAA1107;KTI12;LINC00339;PLA2G2D;RP1-125I3.2;RP1-187B23.1;RP1-202O8.3;RP1-224A6.3;RP1-43E13.2;RP11-108M9.4;RP11-108M9.6;RP11-1143G9.4;RP11-206L10.9;RP11-242F24.1;RP11-244H3.4;RP11-31F15.2;RP11-345P4.7;RP11-345P4.9;RP11-426L16.3;RP11-475O6.1;RP11-486G15.2;RP11-547D24.1;RP11-54O7.1;RP11-54O7.17;RP11-70P17.1;RP11-96K19.5;RP3-395M20.12;RP3-395M20.8;RP3-395M20.9;RP4-549L20.3;RP4-561L24.3;RP4-594I10.3;RP4-635E18.7;RP4-635E18.8;RP4-669L17.10;RP4-706G24.1;RP4-758J18.13;RP4-773N10.4;RP4-798A10.2;RP4-798A10.7;RP4-799D16.1;RP5-1092A3.4;RP5-1092A3.5;RP5-1115A15.1;RP5-1180E21.4;RP5-832C2.5;RP5-892K4.1;RSG1;RWDD3;SLC35E2;TCEB3-AS1;TP73-AS1
GSE244832,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,269,251,0.9330855018587361,primary,ADRBK1;AIM1;CTB-61M7.2;CTC-479C5.12;CTD-2006K23.1;FAM65B;IFITM1;KIAA0922;LINC00936;LINC01272;MCEMP1;PPP1R17;RP11-1008C21.1;RP11-362F19.1;RP11-83A24.2;RP6-159A1.4;UNC119;ZCCHC6
GSE244832,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,130,122,0.9384615384615385,primary,AC093673.5;C10ORF128;CTB-113D17.1;EGLN2;FAM60A;KIAA0226L;METTL12;TAP2
GSE244832,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,5,4,0.8,primary,LHFP
GSE244832,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,444,424,0.954954954954955,primary,ATP5E;C14ORF2;C20ORF24;C7ORF73;CCDC109B;CH17-360D5.2;FKBP11;GNB2L1;GPX1;HIGD2A;LINC00162;MESDC2;PVRL2;RP11-420N3.2;RPL36A;RPS10;SEPP1;TMEM91;TSTD1;WBP5
GSE244832,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,140,136,0.9714285714285714,primary,CTSD;IFITM1;IGF2;WBP5
GSE244832,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,22,22,1.0,primary,
GSE244832,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,47,38,0.8085106382978723,primary,C8ORF4;CTSD;HLA+AC0-A;HLA+AC0-B;HLA+AC0-C;HLA+AC0-DPA1;HLA+AC0-DRB1;HLA+AC0-DRB5;SEP-04
GSE244832,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,59,59,1.0,primary,
