dataset_id,contrast,lineage,comparison_group,donors_before_cell_gate,donors_30,donors_20,minimum_cells,median_cells,maximum_cells,formal_30_cell_gate,formal_20_cell_gate,analysis_role
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,control,6,6,6,69,470.0,577,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,case,4,4,4,178,283.0,304,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,control,6,6,6,57,337.0,724,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,case,4,4,4,76,273.5,379,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,control,6,6,6,53,264.0,481,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,case,4,4,4,279,389.0,578,PASS,PASS,post_lock_external_validation
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,control,6,6,6,69,470.0,577,PASS,PASS,post_lock_external_validation
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,case,4,4,4,79,235.0,459,PASS,PASS,post_lock_external_validation
GSE256398_human,alcohol_cirrhosis_vs_healthy,macrophage_monocyte,control,6,6,6,57,337.0,724,PASS,PASS,post_lock_external_validation
GSE256398_human,alcohol_cirrhosis_vs_healthy,macrophage_monocyte,case,4,4,4,36,278.0,773,PASS,PASS,post_lock_external_validation
GSE256398_human,alcohol_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,control,6,6,6,53,264.0,481,PASS,PASS,post_lock_external_validation
GSE256398_human,alcohol_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,case,4,4,4,95,419.5,1269,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_fibrosis_vs_masld_f0,endothelial,control,3,3,3,170,204.0,411,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_fibrosis_vs_masld_f0,endothelial,case,4,4,4,321,527.5,922,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_fibrosis_vs_masld_f0,macrophage_monocyte,control,3,3,3,46,122.0,314,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_fibrosis_vs_masld_f0,macrophage_monocyte,case,4,4,4,198,511.5,890,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_fibrosis_vs_masld_f0,mesenchymal_hsc_myofibroblast,control,3,3,3,98,120.0,132,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_fibrosis_vs_masld_f0,mesenchymal_hsc_myofibroblast,case,4,4,4,395,633.0,2243,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_masld_f0,endothelial,control,3,3,3,170,204.0,411,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_masld_f0,endothelial,case,4,4,4,178,283.0,304,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_masld_f0,macrophage_monocyte,control,3,3,3,46,122.0,314,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_masld_f0,macrophage_monocyte,case,4,4,4,76,273.5,379,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_masld_f0,mesenchymal_hsc_myofibroblast,control,3,3,3,98,120.0,132,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_cirrhosis_vs_masld_f0,mesenchymal_hsc_myofibroblast,case,4,4,4,279,389.0,578,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_vs_alcohol_cirrhosis_etiology,endothelial,control,4,4,4,79,235.0,459,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_vs_alcohol_cirrhosis_etiology,endothelial,case,4,4,4,178,283.0,304,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_vs_alcohol_cirrhosis_etiology,macrophage_monocyte,control,4,4,4,36,278.0,773,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_vs_alcohol_cirrhosis_etiology,macrophage_monocyte,case,4,4,4,76,273.5,379,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_vs_alcohol_cirrhosis_etiology,mesenchymal_hsc_myofibroblast,control,4,4,4,95,419.5,1269,PASS,PASS,post_lock_external_validation
GSE256398_human,mash_vs_alcohol_cirrhosis_etiology,mesenchymal_hsc_myofibroblast,case,4,4,4,279,389.0,578,PASS,PASS,post_lock_external_validation
