dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,endpoint_limitation,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,uncertainty_status,permutation_status
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_1,endothelial,singscore,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.9461723868374033,0.8913977814175105,-0.054774605419892874,0.05768224616744735,-0.9495921025836302,-0.5426240586192173,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_1,endothelial,standardized_mean,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.2609630274764834,-0.2609630274764833,-0.5219260549529667,0.8561527626030437,-0.6096179066993893,-0.34835308954250815,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_2,endothelial,singscore,directional,30,primary,0.9777777777777776,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.7718446437843453,0.7525528968889273,-0.019291746895417905,0.04792624801284596,-0.40252988070852164,-0.23001707469058377,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_2,endothelial,standardized_mean,directional,30,primary,0.9777777777777776,positive_case_higher,two donors per group; no standalone inferential claim,2,2,-0.19022484429876768,0.1902248442987677,0.38044968859753536,0.12044907459748097,3.1585937033466585,1.8049106876266618,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_3,endothelial,singscore,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.9259086392128241,0.8806675315107545,-0.04524110770206957,0.005820583005241283,-7.7726075998454345,-4.4414900570545335,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_3,endothelial,standardized_mean,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.12268995403097757,-0.1226899540309778,-0.24537990806195537,0.17923878465293716,-1.3690112245354056,-0.782292128305946,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_4,endothelial,singscore,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.8392664206102488,0.8222554915893115,-0.01701092902093726,0.028753295728197834,-0.591616668285262,-0.3380666675915783,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_4,endothelial,standardized_mean,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.0751475412735789,-0.07514754127357898,-0.15029508254715787,0.18600309071414334,-0.8080246514727925,-0.4617283722701671,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_5,endothelial,singscore,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,0.9458806902707526,0.978414757512645,0.03253406724189234,0.03164191714649967,1.0281951972524952,0.5875401127157115,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
GSE181483_human,cirrhosis_vs_healthy_directional,RAM2019_ENDO_5,endothelial,standardized_mean,directional,30,primary,1.0,positive_case_higher,two donors per group; no standalone inferential claim,2,2,-0.4075349117719911,0.4075349117719911,0.8150698235439822,0.8951681777592395,0.9105214459077876,0.5202979690901643,not estimated: n=2 per group directional display only,not tested: frozen no standalone p-value boundary
