dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,endpoint_limitation,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_1,endothelial,singscore,sensitivity,30,primary,0.95,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.7901639837316342,0.7610693169166342,-0.02909466681500006,0.05773561102314795,-0.5039293132852639,-0.47176361243726833,0.4163682411179518,-1.2878453650284538,0.3443181401539172,0.5660251603906596,-1.5811729268029613,0.6376457019284245,0.4090909090909091,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_1,endothelial,standardized_mean,sensitivity,30,primary,0.95,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.19782769535942182,-0.15898182459380775,-0.35680951995322957,0.5934225189051442,-0.601273980319348,-0.5628947900861981,0.4107856781747929,-1.3680347193087923,0.2422451391363959,0.5694850455811246,-1.6790854794252024,0.553295899252806,0.37962037962037964,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_2,endothelial,singscore,sensitivity,30,primary,0.9555555555555556,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.29438056571991805,0.4278354051696142,0.13345483944969616,0.09602744727809945,1.3897572332960746,1.3010493247878145,0.4602059401382897,0.3990456821167667,2.2030529674588624,0.6177713982600919,0.09021738419803449,2.5118812653775944,0.030469530469530468,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_2,endothelial,standardized_mean,sensitivity,30,primary,0.9555555555555556,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,-0.2615490039454131,0.19352027309578668,0.45506927704119976,0.3916017833184605,1.1620715135281339,1.0878967360688914,0.5081937151464947,0.09183705438176182,2.083956417756021,0.6003535755083559,-0.08879627192748618,2.264589744065269,0.05944055944055944,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_3,endothelial,singscore,sensitivity,30,primary,0.9743589743589745,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.5867409577621987,0.6176284291220406,0.030887471359841934,0.03583736335744099,0.8618790130225554,0.8068654589998392,0.48229749742504135,-0.13843763595324188,1.7521685539529201,0.5815818420334926,-0.3330349513858064,1.9467658693854848,0.14685314685314685,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_3,endothelial,standardized_mean,sensitivity,30,primary,0.9743589743589745,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.008124999981732056,0.0676732512184956,0.05954825123676354,0.3015314194833145,0.19748605746890896,0.1848805644389786,0.44775180505746565,-0.692712973473654,1.062474102351611,0.5590485775618379,-0.9108546475822237,1.2806157764601809,0.7017982017982018,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_4,endothelial,singscore,sensitivity,30,primary,0.9772727272727272,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.5538624172529081,0.5823168099319954,0.028454392679087337,0.05180741395373343,0.5492339900327492,0.5141765013072546,0.4795587968467696,-0.4257587405124138,1.4541117431269228,0.5675621897335436,-0.5982453905704908,1.6265983931849999,0.34065934065934067,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_4,endothelial,standardized_mean,sensitivity,30,primary,0.9772727272727272,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,-0.0338008555257033,0.03389938866636441,0.06770024419206772,0.3764612206163084,0.17983324837877054,0.1683545303971469,0.4514073364934269,-0.7164038491299698,1.0531129099242635,0.5588309939273497,-0.9269542177004585,1.2636632784947524,0.7512487512487512,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_5,endothelial,singscore,sensitivity,30,primary,0.96,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.5237427261343548,0.5887980252460768,0.06505529911172203,0.062424727189469585,1.04213990257848,0.9756203343287899,0.5300378649361872,-0.06325388094613693,2.0144945496037168,0.5922591529974613,-0.1852076055462344,2.136448274203814,0.08691308691308691,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_5,endothelial,standardized_mean,sensitivity,30,primary,0.96,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,-0.16157177094379868,0.19273839572380874,0.3543101666676074,0.45035047848285603,0.7867431780270558,0.7365255283657545,0.5381477044692509,-0.3182439723939773,1.7912950291254863,0.5776798609019648,-0.3957269990020965,1.8687780557336056,0.18081918081918083,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_6_SAENDO1,endothelial,singscore,sensitivity,30,primary,1.0,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.511467681820411,0.6667633868972695,0.15529570507685853,0.1057632512208221,1.4683333131714917,1.3746099102030986,0.4894864893136864,0.41521639114827336,2.334003429257924,0.6243736552169448,0.150837545977887,2.5983822744283103,0.024475524475524476,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,sensitivity,30,primary,1.0,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,-0.35242946789644114,0.30768835747873496,0.660117825375176,0.5061453088637078,1.304206151504467,1.2209589503446074,0.5194535627616229,0.20282996733182657,2.2390879333573883,0.6109216884174978,0.023552441046311712,2.418365459642903,0.03996003996003996,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_7_SAENDO2,endothelial,singscore,sensitivity,30,primary,0.9821428571428572,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,0.34467422428372874,0.4136416662480394,0.06896744196431065,0.07542356703871803,0.9144017536177628,0.8560356842379055,0.5556719503515757,-0.23308133845118273,1.9451527069269938,0.5845034844262881,-0.289591145237619,2.00166251371343,0.12737262737262736,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_7_SAENDO2,endothelial,standardized_mean,sensitivity,30,primary,0.9821428571428572,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,5,9,-0.15889267019437256,0.12200628049630809,0.28089895069068066,0.6593662899013606,0.4260135147835695,0.39882116277610763,0.6311812390297145,-0.8382940657221327,1.6359363912743479,0.5636830147396952,-0.7059975461136949,1.50363987166591,0.45554445554445555,exact_2002_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,singscore,sensitivity,30,primary,0.8787878787878788,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.21097249713511812,0.36293760557149274,0.15196510843637462,0.09118201852583521,1.6666126818997469,1.5503373785113925,0.5239719924732461,0.5233522732638303,2.577322483758955,0.6858303007587366,0.2061099890242688,2.8945647679985163,0.026573426573426574,exact_715_allocations
