dataset_id,contrast,assay,annotation,control_id,lineage,score_method,cell_gate,measured_genes,module_coverage,status,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode,fdr_bh,positive_fdr_005,cohort,module,column
GSE202379,advanced_f3f4_vs_f0_non_end_stage,snRNA-seq,author,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,singscore,30,16,1.0,evaluated,3,7,0.1956605572865175,0.2013180648853502,0.0056575075988327,0.0633182407235733,0.089350359930743,0.0807035509051872,1.0824359763416262,-2.0408709627244,2.202278064534775,0.6903604439972066,-1.2724029193293378,1.4338100211397122,0.9083333333333332,exact_120_allocations,0.990909090909091,False,GSE202379,HSC activation,"GSE202379
Rank"
GSE202379,advanced_f3f4_vs_f0_non_end_stage,snRNA-seq,author,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,standardized_mean,30,16,1.0,evaluated,3,7,-0.1651524962573196,-0.1556307100399092,0.0095217862174103,0.2959693666638072,0.0321715261438734,0.0290581526460792,0.998185388048612,-1.9273852079292,1.985501513221359,0.690103796327173,-1.3235452881551797,1.3816615934473384,0.9666666666666668,exact_120_allocations,1.0,False,GSE202379,HSC activation,"GSE202379
Z-mean"
GSE202379,advanced_f3f4_vs_f0_non_end_stage,snRNA-seq,author,CANONICAL_LSEC_CAPILLARIZATION,endothelial,singscore,30,13,1.0,evaluated,5,15,-0.1085551083448845,-0.0817645854822158,0.0267905228626687,0.0834150495982024,0.3211713352891906,0.3076007154882389,0.5645418928746835,-0.7989013945461407,1.414102825522619,0.5189363641186566,-0.7095145581843281,1.324715989160806,0.5408926728586171,exact_15504_allocations,0.7636131852121653,False,GSE202379,LSEC capillarization,"GSE202379
Rank"
GSE202379,advanced_f3f4_vs_f0_non_end_stage,snRNA-seq,author,CANONICAL_LSEC_CAPILLARIZATION,endothelial,standardized_mean,30,13,1.0,evaluated,5,15,-0.1512491689834326,0.0397608096629299,0.1910099786463625,0.3838831140206828,0.4975732760052356,0.4765490530754369,0.4922201184158797,-0.4882023790196873,1.441300485170561,0.5224700682545018,-0.5474922807033865,1.5005903868542605,0.3423632610939112,exact_15504_allocations,0.547781217750258,False,GSE202379,LSEC capillarization,"GSE202379
Z-mean"
GSE244832,mash_f2f4_group_vs_normal_sensitivity,snRNA-seq,reconstructed,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,singscore,30,16,1.0,evaluated,5,9,0.3129301826297853,0.3716763773424686,0.0587461947126833,0.0589834774966956,0.9959771313241816,0.9324041229417872,0.5738593601469482,-0.1923602229462312,2.057168468829805,0.589351483806053,-0.2227247853180766,2.0875330312016507,0.1008991008991009,exact_2002_allocations,0.345939774511203,False,GSE244832,HSC activation,"GSE244832
Rank"
GSE244832,mash_f2f4_group_vs_normal_sensitivity,snRNA-seq,reconstructed,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,standardized_mean,30,16,1.0,evaluated,5,9,-0.1061254188699637,0.1915895879749478,0.2977150068449116,0.4581860220682549,0.6497688548005547,0.6082942470473278,0.5676625950575201,-0.5043244392654116,1.7209129333600672,0.571426889376408,-0.5117024561304317,1.7282909502250874,0.2762237762237762,exact_2002_allocations,0.547781217750258,False,GSE244832,HSC activation,"GSE244832
Z-mean"
GSE244832,mash_f2f4_group_vs_normal_sensitivity,snRNA-seq,reconstructed,CANONICAL_LSEC_CAPILLARIZATION,endothelial,singscore,30,13,1.0,evaluated,5,9,0.0039585069751505,0.0591875592915814,0.0552290523164308,0.0846375213419469,0.6525362680849088,0.610885016930553,0.471676904515393,-0.3136017159196173,1.535371749780723,0.5715420358766605,-0.5093373733877017,1.7311074072488075,0.2627372627372627,exact_2002_allocations,0.547781217750258,False,GSE244832,LSEC capillarization,"GSE244832
Rank"
GSE244832,mash_f2f4_group_vs_normal_sensitivity,snRNA-seq,reconstructed,CANONICAL_LSEC_CAPILLARIZATION,endothelial,standardized_mean,30,13,1.0,evaluated,5,9,-0.2395868706262929,0.1929786154991236,0.4325654861254165,0.598797569470269,0.7223901835608469,0.6762801718441972,0.4510483908987537,-0.20777467431736,1.5603350180057545,0.5746020919404533,-0.4499399283590913,1.8025002720474856,0.2182817182817182,exact_2002_allocations,0.547781217750258,False,GSE244832,LSEC capillarization,"GSE244832
Z-mean"
GSE244832,mash_f2f4_group_vs_normal_sensitivity,snRNA-seq,reconstructed,CANONICAL_SCAR_MACROPHAGE,macrophage_monocyte,singscore,30,9,0.9,evaluated,4,9,0.2497446050367973,0.4976451449303986,0.2479005398936012,0.1929257501048326,1.284953095991055,1.1953052055730744,0.4601399712999633,0.2934308618251462,2.0971795493210026,0.652728503316325,-0.0840426609269227,2.4746530720730715,0.0601398601398601,exact_715_allocations,0.345939774511203,False,GSE244832,Scar macrophage,"GSE244832
Rank"
GSE244832,mash_f2f4_group_vs_normal_sensitivity,snRNA-seq,reconstructed,CANONICAL_SCAR_MACROPHAGE,macrophage_monocyte,standardized_mean,30,9,0.9,evaluated,4,9,-0.4195213730251321,0.2414760600508768,0.660997433076009,0.5649575487544866,1.1699948686998756,1.0883673197208146,0.4637034728351539,0.1795085129639128,1.997226126477716,0.6441692277330657,-0.1742043666359942,2.350939006077623,0.0797202797202797,exact_715_allocations,0.345939774511203,False,GSE244832,Scar macrophage,"GSE244832
Z-mean"
