analysis_set,lineage,program_id,score_method,n_donors,n_stages,stage_min,stage_max,spearman_rho,spearman_bootstrap_ci95_low,spearman_bootstrap_ci95_high,permutation_p_two_sided,standardized_score_slope_per_stage,hc3_se,hc3_ci95_low,hc3_ci95_high,resamples,fdr_bh,positive_fdr_005,dual_score_positive_fdr_005
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,singscore,39,5,0,4,-0.0688613102026194,-0.4149348267464405,0.2840420275945378,0.6742325767423257,-0.0820638562554285,0.1628901351718671,-0.4013285211922881,0.237200808681431,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_1,standardized_mean,39,5,0,4,-0.0696947299932714,-0.4146850955052853,0.2878802515107,0.6742325767423257,-0.0933307620669758,0.1674552622697035,-0.4215430761155946,0.234881551981643,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,singscore,39,5,0,4,0.1038649414100024,-0.2495969657140629,0.4340686577651818,0.5315468453154685,0.1184098617906317,0.155913816028585,-0.1871812176253948,0.4240009412066584,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_2,standardized_mean,39,5,0,4,0.0445879587998806,-0.2941598775325474,0.3766730879890276,0.794020597940206,0.0780529937747806,0.1613799316975368,-0.2382516723523915,0.3943576599019529,10000,0.9005849415058493,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,singscore,39,5,0,4,-0.0923012418147062,-0.3927478735697723,0.2357224035457639,0.5686431356864313,-0.0402224550263528,0.1090255499468517,-0.2539125329221822,0.1734676228694764,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,39,5,0,4,-0.0321908394139325,-0.3470111501864315,0.3028975455582669,0.8489151084891511,-0.0502950564987079,0.1190765338699925,-0.2836850628838934,0.1830949498864774,10000,0.926089209260892,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,39,5,0,4,0.0808417196932416,-0.2766421675865807,0.4338833081035673,0.618938106189381,0.0797016332018953,0.1517207604845329,-0.2176710573477892,0.3770743237515798,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,39,5,0,4,0.0797999449549266,-0.2716113102170627,0.4345303372017242,0.6299370062993701,0.0972670191331774,0.1600320498110681,-0.216395798496516,0.4109298367628709,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,39,5,0,4,0.0176059930775229,-0.3128093377335976,0.3433773610035205,0.9192080791920808,-0.0247659853346009,0.1487459653256265,-0.3163080773728288,0.266776106703627,10000,0.9454711671689974,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,39,5,0,4,0.0805291872717471,-0.2671970977414118,0.4079443020323317,0.6198380161983802,0.1028105754586002,0.1538288257293785,-0.1986939229709816,0.4043150738881822,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,39,5,0,4,0.1788727225686802,-0.1412125795117414,0.4653381576877732,0.2833716628337166,0.2250615554417803,0.1506053471260075,-0.0701249249251944,0.5202480358087551,10000,0.7286699901438427,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,39,5,0,4,0.1935617463789212,-0.1568301073876164,0.5275235730095419,0.2345765423457654,0.1464168639464971,0.1499665731399406,-0.1475176194077864,0.4403513473007808,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,20,5,0,4,0.1400644844616193,-0.3146011441870213,0.559936839406857,0.5568443155684432,0.1130124531867473,0.214249459370692,-0.3069164871798091,0.5329413935533037,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,20,5,0,4,0.4045437903165206,-0.0903963042748704,0.7639960586612267,0.0727927207279272,0.3594648436971623,0.2100478048968846,-0.0522288539007316,0.7711585412950563,10000,0.3743625637436256,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,20,5,0,4,-0.1150250235522795,-0.5432047097919527,0.3973789164016877,0.6345365463453655,-0.1501668776139078,0.2039707569817594,-0.5499495612981562,0.2496158060703406,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,20,5,0,4,-0.0015649663068337,-0.467389288490508,0.4703551078170309,0.9964003599640036,-0.0323165001733319,0.1884970325017847,-0.4017706838768299,0.3371376835301661,10000,0.9964003599640036,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,20,5,0,4,-0.4084562060836049,-0.7896730804666667,0.1041278802567433,0.0696930306969303,-0.4838736895774387,0.2129660709099872,-0.9012871885610138,-0.0664601905938637,10000,0.3743625637436256,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,20,5,0,4,-0.5031366676470459,-0.8123920019279626,-0.0378495167275922,0.0237976202379762,-0.4691828449366078,0.188927355945926,-0.8394804625906229,-0.0988852272825927,10000,0.3743625637436256,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,20,5,0,4,-0.0993753604839422,-0.4937055258990062,0.3495389632378022,0.6782321767823217,-0.1121367154841464,0.1697169660955304,-0.4447819690313862,0.2205085380630932,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,20,5,0,4,0.2715216542356531,-0.1400006855168506,0.6194706629943285,0.2403759624037596,0.2376691373264679,0.1624160587866617,-0.0806663378953889,0.5560046125483249,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,20,5,0,4,-0.4397555322202797,-0.6969809416732335,-0.0517137559576999,0.0562943705629437,-0.360370944813275,0.1828422117356949,-0.7187416798152371,-0.0020002098113129,10000,0.3743625637436256,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,20,5,0,4,-0.2910837330710747,-0.6415055659489701,0.1423643507958242,0.2131786821317868,-0.1857141623935649,0.1930896730707654,-0.5641699216122651,0.1927415968251353,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,20,5,0,4,0.0320818092900915,-0.4068705960616841,0.4469982987548725,0.8933106689331067,-0.0200750290083328,0.1824755795727025,-0.3777271649708299,0.3375771069541642,10000,0.9454711671689974,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,20,5,0,4,0.2034456198883856,-0.2757143272429598,0.6289545042238432,0.3801619838016198,0.1934604567983575,0.1985645041416288,-0.195725971319235,0.5826468849159501,10000,0.8553644635536447,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,24,5,0,4,-0.0526914465177424,-0.4074206895480899,0.3107019429753117,0.8005199480051994,-0.0410821157488625,0.1513086774020685,-0.3376471234569169,0.2554828919591919,10000,0.9005849415058493,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,24,5,0,4,-0.1412272088696653,-0.463322046790055,0.2357828845624182,0.5070492950704929,-0.111846813734762,0.1596552158994948,-0.4247710368977719,0.2010774094282478,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,24,5,0,4,0.3743641885910176,-0.0205564587529679,0.6885838955139323,0.0698930106989301,0.3748985268653489,0.1944176902813956,-0.0061601460861865,0.7559571998168845,10000,0.3743625637436256,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,24,5,0,4,0.5855324913770887,0.1995696929166313,0.8474999871866598,0.003999600039996,0.5092907776423328,0.1650455429925796,0.1858015133768766,0.8327800419077889,10000,0.143985601439856,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,24,5,0,4,0.2667625056427012,-0.1677093451724873,0.6363133401299695,0.2032796720327967,0.269115875746249,0.1958642123434717,-0.1147779804469555,0.6530097319394537,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,24,5,0,4,0.3232533891905673,-0.1217062947568205,0.6693584586434127,0.1193880611938806,0.3129489628036015,0.1829600312285741,-0.0456526984044038,0.6715506240116069,10000,0.4875512448755124,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,24,5,0,4,0.0802529218656193,-0.3453165203407334,0.4886611678878791,0.7050294970502949,0.0611518716685384,0.2014005020544868,-0.3335931123582558,0.4558968556953326,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,24,5,0,4,0.211168302786071,-0.2298935886162535,0.6032584388609069,0.3252674732526747,0.1312899419896341,0.2118917228238432,-0.2840178347450986,0.5465977187243669,10000,0.7806419358064194,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,24,5,0,4,-0.0744244973725855,-0.5613668369996998,0.4393111314374456,0.7256274372562743,-0.1209688104214939,0.2696471763370541,-0.6494772760421199,0.4075396551991321,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,24,5,0,4,-0.3254950909186572,-0.7107111562839774,0.1491150783239819,0.1218878112188781,-0.2311222327726096,0.230418482769392,-0.6827424590006181,0.2204979934553988,10000,0.4875512448755124,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,24,5,0,4,0.1219485740080919,-0.3046874621043982,0.5248000382413779,0.5740425957404259,0.1457713643874929,0.2095027281365996,-0.2648539827602422,0.5563967115352282,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,24,5,0,4,0.4165081810791082,-0.0050125567508639,0.7231820213928831,0.0452954704529547,0.380383867386588,0.1872628873049038,0.0133486082689765,0.7474191265041995,10000,0.3743625637436256,False,False
