dataset_id,contrast,lineage,n_programs,spearman_rho,sign_agreement
GSE181483_human,cirrhosis_vs_healthy_directional,endothelial,7,0.8571428571428571,0.7142857142857143
GSE181483_human,cirrhosis_vs_healthy_directional,macrophage_monocyte,6,0.9428571428571428,0.8333333333333334
GSE181483_human,cirrhosis_vs_healthy_directional,mesenchymal_hsc_myofibroblast,6,0.6,0.6666666666666666
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,6,0.9428571428571428,0.6666666666666666
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,6,0.7142857142857143,0.8333333333333334
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,endothelial,7,0.9285714285714286,1.0
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,macrophage_monocyte,6,0.9428571428571428,1.0
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,mesenchymal_hsc_myofibroblast,6,0.7142857142857143,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,7,1.0,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,6,1.0,0.8333333333333334
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,6,0.8285714285714286,1.0
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,endothelial,7,0.9285714285714286,0.8571428571428571
