lineage,score_method,dataset_left,dataset_right,n_programs,spearman_rho,sign_agreement,includes_watson
endothelial,singscore,GSE181483_human,GSE202379,6,0.6571428571428571,0.6666666666666666,False
endothelial,singscore,GSE181483_human,GSE210077_Watson6,7,0.6428571428571429,0.7142857142857143,True
endothelial,singscore,GSE181483_human,GSE244832,7,0.8571428571428571,0.4285714285714285,False
endothelial,singscore,GSE181483_human,GSE290642_human,7,0.4285714285714285,0.5714285714285714,False
endothelial,singscore,GSE202379,GSE210077_Watson6,6,0.7714285714285715,0.3333333333333333,True
endothelial,singscore,GSE202379,GSE244832,6,0.7714285714285715,0.8333333333333334,False
endothelial,singscore,GSE202379,GSE290642_human,6,0.8857142857142857,0.8333333333333334,False
endothelial,singscore,GSE210077_Watson6,GSE244832,7,0.7857142857142857,0.1428571428571428,True
endothelial,singscore,GSE210077_Watson6,GSE290642_human,7,0.1071428571428571,0.2857142857142857,True
endothelial,singscore,GSE244832,GSE290642_human,7,0.5714285714285714,0.8571428571428571,False
endothelial,standardized_mean,GSE181483_human,GSE202379,6,0.5428571428571428,0.5,False
endothelial,standardized_mean,GSE181483_human,GSE210077_Watson6,7,0.5714285714285714,0.4285714285714285,True
endothelial,standardized_mean,GSE181483_human,GSE244832,7,0.8214285714285714,0.7142857142857143,False
endothelial,standardized_mean,GSE181483_human,GSE290642_human,7,0.2857142857142857,0.4285714285714285,False
endothelial,standardized_mean,GSE202379,GSE210077_Watson6,6,0.5428571428571428,0.0,True
endothelial,standardized_mean,GSE202379,GSE244832,6,0.5428571428571428,0.8333333333333334,False
endothelial,standardized_mean,GSE202379,GSE290642_human,6,0.4857142857142857,1.0,False
endothelial,standardized_mean,GSE210077_Watson6,GSE244832,7,0.7142857142857143,0.1428571428571428,True
endothelial,standardized_mean,GSE210077_Watson6,GSE290642_human,7,-0.1428571428571428,0.1428571428571428,True
endothelial,standardized_mean,GSE244832,GSE290642_human,7,0.4642857142857143,0.7142857142857143,False
macrophage_monocyte,singscore,GSE181483_human,GSE210077_Watson6,6,0.6,0.3333333333333333,True
macrophage_monocyte,singscore,GSE181483_human,GSE244832,6,0.4285714285714285,0.8333333333333334,False
macrophage_monocyte,singscore,GSE210077_Watson6,GSE244832,6,0.0285714285714285,0.1666666666666666,True
macrophage_monocyte,standardized_mean,GSE181483_human,GSE210077_Watson6,6,0.6,0.5,True
macrophage_monocyte,standardized_mean,GSE181483_human,GSE244832,6,0.3714285714285714,0.8333333333333334,False
macrophage_monocyte,standardized_mean,GSE210077_Watson6,GSE244832,6,-0.0857142857142857,0.3333333333333333,True
mesenchymal_hsc_myofibroblast,singscore,GSE181483_human,GSE202379,6,-0.1428571428571428,0.5,False
mesenchymal_hsc_myofibroblast,singscore,GSE181483_human,GSE210077_Watson6,6,0.2571428571428571,0.3333333333333333,True
mesenchymal_hsc_myofibroblast,singscore,GSE181483_human,GSE244832,6,0.1428571428571428,0.8333333333333334,False
mesenchymal_hsc_myofibroblast,singscore,GSE202379,GSE210077_Watson6,6,0.2571428571428571,0.5,True
mesenchymal_hsc_myofibroblast,singscore,GSE202379,GSE244832,6,0.8857142857142857,0.6666666666666666,False
mesenchymal_hsc_myofibroblast,singscore,GSE210077_Watson6,GSE244832,6,0.2,0.1666666666666666,True
mesenchymal_hsc_myofibroblast,standardized_mean,GSE181483_human,GSE202379,6,-0.9428571428571428,0.6666666666666666,False
mesenchymal_hsc_myofibroblast,standardized_mean,GSE181483_human,GSE210077_Watson6,6,-0.0285714285714285,0.0,True
mesenchymal_hsc_myofibroblast,standardized_mean,GSE181483_human,GSE244832,6,-0.2571428571428571,0.8333333333333334,False
mesenchymal_hsc_myofibroblast,standardized_mean,GSE202379,GSE210077_Watson6,6,0.0857142857142857,0.3333333333333333,True
mesenchymal_hsc_myofibroblast,standardized_mean,GSE202379,GSE244832,6,0.3142857142857143,0.5,False
mesenchymal_hsc_myofibroblast,standardized_mean,GSE210077_Watson6,GSE244832,6,-0.7142857142857143,0.1666666666666666,True
