held_out_dataset,lineage,score_method,program_id,observed_effect_z,predicted_effect_z_from_other_cohorts,n_training_cohorts
GSE202379,endothelial,singscore,RAM2019_ENDO_1,-0.9179017060506524,-1.0061429524456944,4
GSE202379,endothelial,standardized_mean,RAM2019_ENDO_1,-1.1087118770771816,-1.135338478096524,4
GSE202379,endothelial,singscore,RAM2019_ENDO_2,1.2141208484554853,0.5061648594353257,4
GSE202379,endothelial,standardized_mean,RAM2019_ENDO_2,1.5299268735596052,0.9470422254653408,4
GSE202379,endothelial,singscore,RAM2019_ENDO_3,-0.9001183401730055,-0.4000907052740399,4
GSE202379,endothelial,standardized_mean,RAM2019_ENDO_3,-1.0749345693131578,-0.418870657806388,4
GSE202379,endothelial,singscore,RAM2019_ENDO_4,0.252133118147526,-0.1225309301202049,4
GSE202379,endothelial,standardized_mean,RAM2019_ENDO_4,0.5142151128916733,-0.3740730384658272,4
GSE202379,endothelial,singscore,RAM2019_ENDO_5,-0.7589199341918442,0.2877241309718393,4
GSE202379,endothelial,standardized_mean,RAM2019_ENDO_5,0.0547609427329568,0.1009824714864063,4
GSE202379,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,1.110686013812491,0.9853473860615788,4
GSE202379,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,0.0847435172061035,1.064470771097953,4
GSE202379,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,-0.8388578745582413,0.7556792035039025,3
GSE202379,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,-0.8543116475488824,0.361814398190911,3
GSE202379,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,1.343680028703387,0.2503093117214207,3
GSE202379,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,0.5160628714090921,-0.0108778210525079,3
GSE202379,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,-0.8423451896713127,-0.9655989175543566,3
GSE202379,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,-0.6086886323351112,-0.6137528395338913,3
GSE202379,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,-0.9119292223497012,-0.3731717987291024,3
GSE202379,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,-1.1737006214969363,0.2060149778114185,3
GSE202379,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,0.3339378474838731,-0.2799969092980552,3
GSE202379,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,1.1203310741807768,-0.1500553013426251,3
GSE202379,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,0.915514410391995,0.6127791103561914,3
GSE202379,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,1.0003069557910609,0.2068565859266956,3
GSE290642_human,endothelial,singscore,RAM2019_ENDO_1,-0.0596834772455091,-1.22069750964698,4
GSE290642_human,endothelial,standardized_mean,RAM2019_ENDO_1,-0.5022881315452538,-1.286944414479506,4
GSE290642_human,endothelial,singscore,RAM2019_ENDO_2,0.5652069372955523,0.668393337225309,4
GSE290642_human,endothelial,standardized_mean,RAM2019_ENDO_2,0.8850683691684055,1.1082568515631408,4
GSE290642_human,endothelial,singscore,RAM2019_ENDO_3,0.4170659877728594,-0.7293867872605062,4
GSE290642_human,endothelial,standardized_mean,RAM2019_ENDO_3,0.5878336031038103,-0.83456270091063,4
GSE290642_human,endothelial,singscore,RAM2019_ENDO_4,0.5126330147920503,-0.187655904281336,4
GSE290642_human,endothelial,standardized_mean,RAM2019_ENDO_4,0.4588249220252793,-0.3602254907492287,4
GSE290642_human,endothelial,singscore,RAM2019_ENDO_5,0.1909326911129882,0.0502609746456312,4
GSE290642_human,endothelial,standardized_mean,RAM2019_ENDO_5,-0.6788546086179005,0.2843863593241206,4
