lineage,gene_symbol,program_recurrence,measured_gse202379,measured_gse244832,gse202379_n_donors,gse202379_detection_rate,gse202379_stage_spearman_rho,gse244832_n_control,gse244832_n_case,gse244832_detection_rate,gse244832_mash_vs_normal_hedges_g,passes_measurement,passes_discovery_effects,stage_effect_percentile,mash_effect_percentile,mean_discovery_effect_percentile
endothelial,ACP5,2,True,True,39.0,1.0,0.0269819657223577,5.0,9.0,1.0,-0.7521766305757105,True,False,0.5625,0.0416666666666666,0.3020833333333333
endothelial,ADIRF,2,True,True,39.0,0.8717948717948718,0.2713445662876688,5.0,9.0,1.0,0.6726247776199108,True,True,0.9583333333333334,0.7083333333333334,0.8333333333333334
endothelial,APP,2,True,True,39.0,1.0,-0.016564218339208,5.0,9.0,1.0,1.3251687744452605,True,False,0.4375,1.0,0.71875
endothelial,ARL4A,2,True,True,39.0,0.8974358974358975,-0.0172501039388769,5.0,9.0,1.0,0.8111031794691813,True,False,0.4166666666666667,0.7916666666666666,0.6041666666666666
endothelial,BST2,2,True,True,39.0,1.0,0.2081465927153308,5.0,9.0,1.0,0.3238721688609605,True,True,0.875,0.5833333333333334,0.7291666666666667
endothelial,C1QTNF1,2,True,True,39.0,1.0,0.1424106067276563,5.0,9.0,1.0,-1.1140894443367615,True,False,0.8333333333333334,0.0208333333333333,0.4270833333333333
endothelial,CD14,2,True,True,39.0,0.9230769230769232,-0.0393870590043293,5.0,9.0,1.0,-0.6840135303998851,True,False,0.375,0.125,0.25
endothelial,CLU,3,True,True,39.0,1.0,0.1162620607959505,5.0,9.0,1.0,0.1049536989226122,True,False,0.7708333333333334,0.5,0.6354166666666667
endothelial,CPE,2,True,True,39.0,0.8974358974358975,0.4655443458791172,5.0,9.0,1.0,0.7934936300135295,True,True,1.0,0.75,0.875
endothelial,CTNNAL1,2,True,True,39.0,1.0,0.0131263617027686,5.0,9.0,1.0,-0.6972751522394993,True,False,0.5208333333333334,0.0625,0.2916666666666667
endothelial,DNASE1L3,2,True,True,39.0,1.0,-0.1151161085838041,5.0,9.0,1.0,-0.4504352052083659,True,False,0.2083333333333333,0.25,0.2291666666666666
endothelial,EMP3,2,True,True,39.0,0.8974358974358975,-0.0442978499940949,5.0,9.0,1.0,0.6173878854688508,True,False,0.3541666666666667,0.6875,0.5208333333333334
endothelial,FABP5,2,True,True,39.0,0.5897435897435898,-0.0675822604937464,5.0,9.0,0.7857142857142857,1.2894207833911204,True,False,0.3125,0.9583333333333334,0.6354166666666667
endothelial,FCGR2B,2,True,True,39.0,1.0,0.032503371835427,5.0,9.0,1.0,-0.3963081915974437,True,False,0.6041666666666666,0.2708333333333333,0.4375
endothelial,FCN3,2,True,True,39.0,1.0,0.1417855418846673,5.0,9.0,1.0,-0.684817644195414,True,False,0.8125,0.1041666666666666,0.4583333333333333
endothelial,FTH1,2,True,True,39.0,0.9743589743589745,0.2135638213545687,5.0,9.0,1.0,0.9089087153144236,True,True,0.8958333333333334,0.8125,0.8541666666666667
endothelial,FTL,3,True,True,39.0,0.9743589743589745,0.2611729268955628,5.0,9.0,1.0,0.9241822401830904,True,True,0.9375,0.8333333333333334,0.8854166666666667
endothelial,GSN,2,True,True,39.0,1.0,0.0945931462389992,5.0,9.0,1.0,1.2153563685912971,True,False,0.6875,0.8958333333333334,0.7916666666666667
endothelial,HIF1A,2,True,True,39.0,1.0,0.0865714807539739,5.0,9.0,1.0,-0.0395396044047729,True,False,0.6666666666666666,0.4375,0.5520833333333333
endothelial,HIPK2,2,True,True,39.0,1.0,0.0567767232381658,5.0,9.0,1.0,-0.2743665908162991,True,False,0.625,0.3125,0.46875
endothelial,HLA-C,2,True,True,39.0,1.0,-0.1708510570836549,5.0,9.0,1.0,-0.0928236175889514,True,False,0.125,0.4166666666666667,0.2708333333333333
endothelial,IL33,2,True,True,39.0,1.0,0.1145952212146466,5.0,9.0,1.0,0.2355839274230994,True,True,0.7291666666666666,0.5416666666666666,0.6354166666666666
endothelial,ITM2B,2,True,True,39.0,1.0,-0.0445879587998806,5.0,9.0,1.0,0.6085325823885466,True,False,0.3333333333333333,0.6666666666666666,0.5
endothelial,LIFR,3,True,True,39.0,1.0,0.1248046136501333,5.0,9.0,1.0,-0.5275766785015772,True,False,0.7916666666666666,0.1458333333333333,0.46875
endothelial,MEG3,2,True,True,39.0,1.0,-0.4021250489895781,5.0,9.0,1.0,-0.1974766772851939,True,False,0.0208333333333333,0.375,0.1979166666666666
endothelial,MEIS2,2,True,True,39.0,1.0,-0.2756535957581408,5.0,9.0,1.0,-0.2178222429024845,True,False,0.0416666666666666,0.3541666666666667,0.1979166666666666
endothelial,MRC1,2,True,True,39.0,1.0,-0.1222001768043459,5.0,9.0,1.0,-0.4975387486094922,True,False,0.1666666666666666,0.1875,0.1770833333333333
endothelial,NNMT,2,True,True,39.0,0.8717948717948718,-0.0703910769577926,5.0,9.0,1.0,-0.0371473929318949,True,False,0.2916666666666667,0.4583333333333333,0.375
endothelial,NR2F1,2,True,True,39.0,1.0,-0.2600269746834163,5.0,9.0,1.0,-0.4721930392047785,True,False,0.0625,0.2083333333333333,0.1354166666666666
endothelial,NTS,2,True,True,39.0,0.1794871794871795,0.171719750077874,5.0,9.0,0.5714285714285714,0.7860496727369313,False,False,0.8541666666666666,0.7291666666666666,0.7916666666666666
endothelial,PLAC9,2,True,True,39.0,0.6153846153846154,-0.0710071902041785,5.0,9.0,0.8571428571428571,0.9749701818196428,True,False,0.2708333333333333,0.875,0.5729166666666666
endothelial,PLPP1,2,True,True,39.0,1.0,0.220543712101279,5.0,9.0,1.0,1.2633381880370071,True,True,0.9166666666666666,0.9375,0.9270833333333331
endothelial,PLPP3,2,True,True,39.0,1.0,-0.0293780476204821,5.0,9.0,1.0,0.1542289356282562,True,False,0.3958333333333333,0.5208333333333334,0.4583333333333333
endothelial,PRSS23,2,True,True,39.0,1.0,-0.0098968600139922,5.0,9.0,1.0,0.4681741912246189,True,False,0.4583333333333333,0.625,0.5416666666666666
endothelial,PTPRB,2,True,True,39.0,1.0,0.0026044368457874,5.0,9.0,1.0,-0.2477388686529478,True,False,0.5,0.3333333333333333,0.4166666666666666
endothelial,S100A6,2,True,True,39.0,0.5128205128205128,0.1155263059271259,5.0,9.0,0.8571428571428571,0.9486264289101688,True,True,0.75,0.8541666666666666,0.8020833333333333
endothelial,SDCBP,3,True,True,39.0,1.0,0.0297947575158081,5.0,9.0,1.0,-0.4718411004538002,True,False,0.5833333333333334,0.2291666666666666,0.40625
endothelial,SDPR,2,False,False,,,,,,,,False,False,,,
endothelial,SLC40A1,2,True,True,39.0,1.0,-0.1558495008519194,5.0,9.0,1.0,-0.6857522605052322,True,False,0.1458333333333333,0.0833333333333333,0.1145833333333333
endothelial,SRGN,2,True,True,39.0,0.9487179487179488,0.0225034732161592,5.0,9.0,1.0,0.809247145980294,True,False,0.5416666666666666,0.7708333333333334,0.65625
endothelial,SRPX,2,True,True,39.0,0.9743589743589745,0.1052192485698119,5.0,9.0,1.0,-0.1858205307270232,True,False,0.7083333333333334,0.3958333333333333,0.5520833333333334
