program_id,lineage,representative_cohorts_evaluable,median_program_coverage,minimum_program_coverage,score_method_sign_agreement_fraction,expected_positive_effect_fraction,random_specific_both_scores_context_fraction,positive_formal_primary_interval_both_scores,dual_score_fdr_positive_stage_trend,advanced_meta_positive_interval_both_scores,assay_robust,measurement_domain_0_20,score_method_domain_0_20,directional_transfer_domain_0_20,matched_random_specificity_domain_0_20,endpoint_evidence_domain_0_20,transportability_readiness_total_0_100,interpretation,program
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,3,0.9455081001472754,0.8512518409425626,1.0,0.6666666666666666,0.6666666666666666,False,False,False,False,17.96759941089838,20.0,13.333333333333332,13.333333333333332,0,64.63426607756504,exploratory prioritization index; not a clinical score or replication definition,SAM-B
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,3,0.8787878787878788,0.7727272727272727,1.0,0.6666666666666666,0.6666666666666666,False,False,False,False,16.515151515151516,20.0,13.333333333333332,13.333333333333332,0,63.18181818181817,exploratory prioritization index; not a clinical score or replication definition,SAM-A
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,3,0.9384615384615383,0.8153846153846154,1.0,0.6666666666666666,0.3333333333333333,False,False,False,False,17.538461538461537,20.0,13.333333333333332,6.666666666666666,0,57.538461538461526,exploratory prioritization index; not a clinical score or replication definition,cDC1-F
RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,4,0.8997747747747749,0.795045045045045,1.0,0.75,0.25,False,False,False,False,16.9481981981982,20.0,15.0,5.0,0,56.9481981981982,exploratory prioritization index; not a clinical score or replication definition,Mesothelial
RAM2019_ENDO_6_SAENDO1,endothelial,5,1.0,1.0,1.0,0.8,0.0,False,False,False,False,20.0,20.0,16.0,0.0,0,56.0,exploratory prioritization index; not a clinical score or replication definition,SAEndo1
RAM2019_ENDO_5,endothelial,5,0.96,0.9,1.0,0.8,0.0,False,False,False,False,18.6,20.0,16.0,0.0,0,54.6,exploratory prioritization index; not a clinical score or replication definition,Endo5
RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,4,0.9392857142857144,0.8785714285714286,1.0,0.75,0.0,False,False,False,False,18.178571428571427,20.0,15.0,0.0,0,53.17857142857143,exploratory prioritization index; not a clinical score or replication definition,SAMes
RAM2019_ENDO_2,endothelial,5,0.9555555555555556,0.8222222222222222,0.8,0.7,0.0,False,False,True,False,17.77777777777778,16.0,14.0,0.0,5,52.77777777777778,exploratory prioritization index; not a clinical score or replication definition,Endo2
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,3,0.933085501858736,0.8178438661710037,1.0,0.3333333333333333,0.3333333333333333,False,False,False,False,17.509293680297397,20.0,6.666666666666666,6.666666666666666,0,50.842627013630725,exploratory prioritization index; not a clinical score or replication definition,TMo-E
RAM2019_ENDO_4,endothelial,5,0.9659090909090908,0.8522727272727273,1.0,0.6,0.0,False,False,False,False,18.18181818181818,20.0,12.0,0.0,0,50.18181818181818,exploratory prioritization index; not a clinical score or replication definition,Endo4
RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,4,0.8191489361702127,0.8085106382978723,1.0,0.5,0.0,False,False,False,False,16.276595744680847,20.0,10.0,0.0,0,46.27659574468085,exploratory prioritization index; not a clinical score or replication definition,SAMes-A
RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,4,0.9745762711864407,0.864406779661017,0.75,0.625,0.0,False,False,False,False,18.389830508474574,15.0,12.5,0.0,0,45.889830508474574,exploratory prioritization index; not a clinical score or replication definition,SAMes-B
RAM2019_ENDO_3,endothelial,5,0.9743589743589745,0.8974358974358975,0.8,0.5,0.0,False,False,False,False,18.71794871794872,16.0,10.0,0.0,0,44.71794871794872,exploratory prioritization index; not a clinical score or replication definition,Endo3
RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,4,0.8,0.6,1.0,0.5,0.0,False,False,False,False,14.0,20.0,10.0,0.0,0,44.0,exploratory prioritization index; not a clinical score or replication definition,HSC
RAM2019_ENDO_7_SAENDO2,endothelial,4,0.9910714285714286,0.8928571428571429,0.75,0.375,0.0,False,False,False,False,18.839285714285715,15.0,7.5,0.0,0,41.33928571428572,exploratory prioritization index; not a clinical score or replication definition,SAEndo2
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,3,0.9698795180722892,0.8975903614457831,1.0,0.0,0.0,False,False,False,False,18.674698795180724,20.0,0.0,0.0,0,38.67469879518072,exploratory prioritization index; not a clinical score or replication definition,KC-C
RAM2019_ENDO_1,endothelial,5,0.9625,0.9,0.6,0.2,0.0,False,False,False,False,18.625,12.0,4.0,0.0,0,34.625,exploratory prioritization index; not a clinical score or replication definition,Endo1
RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,4,1.0,0.9090909090909092,0.5,0.25,0.0,False,False,False,False,19.090909090909093,10.0,5.0,0.0,0,34.09090909090909,exploratory prioritization index; not a clinical score or replication definition,VSMC
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,3,0.8,0.7333333333333333,0.3333333333333333,0.3333333333333333,0.0,False,False,False,False,15.333333333333332,6.666666666666666,6.666666666666666,0.0,0,28.666666666666664,exploratory prioritization index; not a clinical score or replication definition,TMo-D
