program,Measurement,Method,Direction,Random specificity,Endpoint
SAM-B,17.96759941089838,20.0,13.333333333333332,13.333333333333332,0
SAM-A,16.515151515151516,20.0,13.333333333333332,13.333333333333332,0
cDC1-F,17.538461538461537,20.0,13.333333333333332,6.666666666666666,0
Mesothelial,16.9481981981982,20.0,15.0,5.0,0
SAEndo1,20.0,20.0,16.0,0.0,0
Endo5,18.6,20.0,16.0,0.0,0
SAMes,18.178571428571427,20.0,15.0,0.0,0
Endo2,17.77777777777778,16.0,14.0,0.0,5
TMo-E,17.509293680297397,20.0,6.666666666666666,6.666666666666666,0
Endo4,18.18181818181818,20.0,12.0,0.0,0
SAMes-A,16.276595744680847,20.0,10.0,0.0,0
SAMes-B,18.389830508474574,15.0,12.5,0.0,0
Endo3,18.71794871794872,16.0,10.0,0.0,0
HSC,14.0,20.0,10.0,0.0,0
SAEndo2,18.839285714285715,15.0,7.5,0.0,0
KC-C,18.674698795180724,20.0,0.0,0.0,0
Endo1,18.625,12.0,4.0,0.0,0
VSMC,19.090909090909093,10.0,5.0,0.0,0
TMo-D,15.333333333333332,6.666666666666666,6.666666666666666,0.0,0
