program_id,contrast,mean_g,dual_random,dual_positive_ci,dual_positive
RAM2019_ENDO_1,alcohol_cirrhosis_vs_healthy,-2.424729626711621,0,0,0
RAM2019_ENDO_1,mash_cirrhosis_vs_healthy,-3.036137608421625,0,0,0
RAM2019_ENDO_1,mash_cirrhosis_vs_masld_f0,-3.578815043982668,0,0,0
RAM2019_ENDO_1,mash_fibrosis_vs_masld_f0,-0.9292810054252444,0,0,0
RAM2019_ENDO_1,mash_vs_alcohol_cirrhosis_etiology,0.4712256239296928,0,0,2
RAM2019_ENDO_2,alcohol_cirrhosis_vs_healthy,2.4791295399201436,2,2,2
RAM2019_ENDO_2,mash_cirrhosis_vs_healthy,2.4246707329582797,2,2,2
RAM2019_ENDO_2,mash_cirrhosis_vs_masld_f0,2.405686542097171,0,2,2
RAM2019_ENDO_2,mash_fibrosis_vs_masld_f0,1.2793871104450307,0,0,2
RAM2019_ENDO_2,mash_vs_alcohol_cirrhosis_etiology,-0.08344893413332916,0,0,1
RAM2019_ENDO_3,alcohol_cirrhosis_vs_healthy,-0.4991804134249783,0,0,0
RAM2019_ENDO_3,mash_cirrhosis_vs_healthy,0.7728648841793958,0,0,2
RAM2019_ENDO_3,mash_cirrhosis_vs_masld_f0,2.1562557082230334,0,2,2
RAM2019_ENDO_3,mash_fibrosis_vs_masld_f0,1.8424420623162523,0,2,2
RAM2019_ENDO_3,mash_vs_alcohol_cirrhosis_etiology,0.8994860342779458,0,0,2
RAM2019_ENDO_4,alcohol_cirrhosis_vs_healthy,-1.0393888851342443,0,0,0
RAM2019_ENDO_4,mash_cirrhosis_vs_healthy,0.21578152067344855,0,0,2
RAM2019_ENDO_4,mash_cirrhosis_vs_masld_f0,-0.5172651633204153,0,0,0
RAM2019_ENDO_4,mash_fibrosis_vs_masld_f0,0.07619606975701523,0,0,1
RAM2019_ENDO_4,mash_vs_alcohol_cirrhosis_etiology,0.9436500021057979,0,0,2
RAM2019_ENDO_5,alcohol_cirrhosis_vs_healthy,0.5506169099967322,1,0,2
RAM2019_ENDO_5,mash_cirrhosis_vs_healthy,1.5199203391379525,0,2,2
RAM2019_ENDO_5,mash_cirrhosis_vs_masld_f0,1.7778441926323805,0,2,2
RAM2019_ENDO_5,mash_fibrosis_vs_masld_f0,1.7163659592598157,0,2,2
RAM2019_ENDO_5,mash_vs_alcohol_cirrhosis_etiology,0.677964041606171,0,0,2
RAM2019_ENDO_6_SAENDO1,alcohol_cirrhosis_vs_healthy,1.8414272439829047,2,2,2
RAM2019_ENDO_6_SAENDO1,mash_cirrhosis_vs_healthy,2.5223771594964495,1,2,2
RAM2019_ENDO_6_SAENDO1,mash_cirrhosis_vs_masld_f0,1.7022071105366903,0,0,2
RAM2019_ENDO_6_SAENDO1,mash_fibrosis_vs_masld_f0,1.1075716609595334,0,0,2
RAM2019_ENDO_6_SAENDO1,mash_vs_alcohol_cirrhosis_etiology,0.019736100571758244,0,0,1
RAM2019_ENDO_7_SAENDO2,alcohol_cirrhosis_vs_healthy,-0.6200258447631115,0,0,0
RAM2019_ENDO_7_SAENDO2,mash_cirrhosis_vs_healthy,0.41859170467573903,0,0,2
RAM2019_ENDO_7_SAENDO2,mash_cirrhosis_vs_masld_f0,0.682195151674778,0,0,2
RAM2019_ENDO_7_SAENDO2,mash_fibrosis_vs_masld_f0,-0.6034509475184618,0,0,0
RAM2019_ENDO_7_SAENDO2,mash_vs_alcohol_cirrhosis_etiology,0.8900792846038228,0,0,2
RAM2019_MAC_SIG_A_SAM,alcohol_cirrhosis_vs_healthy,0.5500932219722567,2,0,2
RAM2019_MAC_SIG_A_SAM,mash_cirrhosis_vs_healthy,1.3939671989790179,2,2,2
RAM2019_MAC_SIG_A_SAM,mash_cirrhosis_vs_masld_f0,1.6147472230405417,2,1,2
RAM2019_MAC_SIG_A_SAM,mash_fibrosis_vs_masld_f0,0.9604045814570618,0,0,2
RAM2019_MAC_SIG_A_SAM,mash_vs_alcohol_cirrhosis_etiology,0.6271716509604085,0,0,2
RAM2019_MAC_SIG_B_SAM,alcohol_cirrhosis_vs_healthy,-0.7249006286605101,1,0,0
RAM2019_MAC_SIG_B_SAM,mash_cirrhosis_vs_healthy,-0.2682865584510174,0,0,1
RAM2019_MAC_SIG_B_SAM,mash_cirrhosis_vs_masld_f0,-1.0343574743309933,0,0,0
RAM2019_MAC_SIG_B_SAM,mash_fibrosis_vs_masld_f0,-0.9488917799124369,0,0,0
RAM2019_MAC_SIG_B_SAM,mash_vs_alcohol_cirrhosis_etiology,0.6633814705146995,1,0,2
RAM2019_MAC_SIG_C_KC,alcohol_cirrhosis_vs_healthy,-1.1892134432831782,0,0,0
RAM2019_MAC_SIG_C_KC,mash_cirrhosis_vs_healthy,-0.8536189413331283,0,0,0
RAM2019_MAC_SIG_C_KC,mash_cirrhosis_vs_masld_f0,-2.1479995864870793,0,0,0
RAM2019_MAC_SIG_C_KC,mash_fibrosis_vs_masld_f0,-1.8744340238252484,0,0,0
RAM2019_MAC_SIG_C_KC,mash_vs_alcohol_cirrhosis_etiology,0.7427158186602348,0,0,2
RAM2019_MAC_SIG_D_TMO,alcohol_cirrhosis_vs_healthy,-0.9794937436139279,0,0,0
RAM2019_MAC_SIG_D_TMO,mash_cirrhosis_vs_healthy,-0.7743737126704308,0,0,0
RAM2019_MAC_SIG_D_TMO,mash_cirrhosis_vs_masld_f0,0.9569660676018722,2,0,2
RAM2019_MAC_SIG_D_TMO,mash_fibrosis_vs_masld_f0,2.1044223245749785,2,2,2
RAM2019_MAC_SIG_D_TMO,mash_vs_alcohol_cirrhosis_etiology,0.3783080754394168,0,0,2
RAM2019_MAC_SIG_E_TMO,alcohol_cirrhosis_vs_healthy,-0.10552680497128945,2,0,1
RAM2019_MAC_SIG_E_TMO,mash_cirrhosis_vs_healthy,0.1766020939755795,0,0,2
RAM2019_MAC_SIG_E_TMO,mash_cirrhosis_vs_masld_f0,1.1216464424420811,2,0,2
RAM2019_MAC_SIG_E_TMO,mash_fibrosis_vs_masld_f0,2.0806040934226395,2,1,2
RAM2019_MAC_SIG_E_TMO,mash_vs_alcohol_cirrhosis_etiology,0.3819998222059475,0,0,2
RAM2019_MAC_SIG_F_CDC1,alcohol_cirrhosis_vs_healthy,-0.22364138585314375,1,0,1
RAM2019_MAC_SIG_F_CDC1,mash_cirrhosis_vs_healthy,0.3796568827464016,2,0,2
RAM2019_MAC_SIG_F_CDC1,mash_cirrhosis_vs_masld_f0,0.15712057608729116,0,0,2
RAM2019_MAC_SIG_F_CDC1,mash_fibrosis_vs_masld_f0,-0.12583568568953546,0,0,0
RAM2019_MAC_SIG_F_CDC1,mash_vs_alcohol_cirrhosis_etiology,0.6048283578856651,0,0,2
RAM2019_MES_HSC,alcohol_cirrhosis_vs_healthy,0.23833206005093743,0,0,2
RAM2019_MES_HSC,mash_cirrhosis_vs_healthy,0.31328980304779247,0,0,2
RAM2019_MES_HSC,mash_cirrhosis_vs_masld_f0,-1.0605671167069515,0,0,0
RAM2019_MES_HSC,mash_fibrosis_vs_masld_f0,-0.6248819217724737,0,0,0
RAM2019_MES_HSC,mash_vs_alcohol_cirrhosis_etiology,0.0097227602083945,0,0,2
RAM2019_MES_MESOTHELIAL,alcohol_cirrhosis_vs_healthy,-0.8228272157132076,0,0,0
RAM2019_MES_MESOTHELIAL,mash_cirrhosis_vs_healthy,0.2173044043965564,0,0,2
RAM2019_MES_MESOTHELIAL,mash_cirrhosis_vs_masld_f0,0.316284147145459,0,0,2
RAM2019_MES_MESOTHELIAL,mash_fibrosis_vs_masld_f0,0.1264545529943161,0,0,2
RAM2019_MES_MESOTHELIAL,mash_vs_alcohol_cirrhosis_etiology,1.2828501727661048,2,0,2
RAM2019_MES_SAMES,alcohol_cirrhosis_vs_healthy,-0.13464535271483427,0,0,1
RAM2019_MES_SAMES,mash_cirrhosis_vs_healthy,0.7182397092279807,0,0,2
RAM2019_MES_SAMES,mash_cirrhosis_vs_masld_f0,0.7278832056207516,0,0,2
RAM2019_MES_SAMES,mash_fibrosis_vs_masld_f0,0.5600619003810166,0,0,2
RAM2019_MES_SAMES,mash_vs_alcohol_cirrhosis_etiology,1.0194296425546447,0,1,2
RAM2019_MES_VSMC,alcohol_cirrhosis_vs_healthy,1.185285628416705,2,1,2
RAM2019_MES_VSMC,mash_cirrhosis_vs_healthy,0.6914195667216865,0,0,2
RAM2019_MES_VSMC,mash_cirrhosis_vs_masld_f0,0.6975794366487323,0,0,2
RAM2019_MES_VSMC,mash_fibrosis_vs_masld_f0,0.8988596373237633,0,0,2
