dataset_id,trend,lineage,program_id,score_method,n_donors,n_normal,n_masl,n_mash,spearman_rho,permutation_p_two_sided,permutations,theil_sen_slope_per_level,theil_sen_intercept,theil_sen_ci95_low,theil_sen_ci95_high,fdr_within_lineage_method,cohort,fdr,analysis_tier,cell_gate,n_f0,n_fibrosis,n_cirrhosis,permutation_mode,permutation_fdr_within_lineage_method
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_1,singscore,18.0,5.0,4.0,9.0,0.0022450507161913,0.9936006399360064,10000.0,-0.000977237094358,0.7931734325398365,-0.0353663292947012,0.013925325406127,0.9936006399360064,GSE244832: normal→MASL→MASH,0.9936006399360064,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_1,standardized_mean,18.0,5.0,4.0,9.0,0.0112252535809567,0.9671032896710328,10000.0,-0.0047170828665513,0.1509415594971245,-0.4503150209037573,0.1125797553131602,0.9671032896710328,GSE244832: normal→MASL→MASH,0.9671032896710328,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_2,singscore,18.0,5.0,4.0,9.0,0.608408744087856,0.0085991400859914,10000.0,0.0693730940928331,0.2443211352420165,0.0079254909651115,0.1189829852425731,0.0570442955704429,GSE244832: normal→MASL→MASH,0.0570442955704429,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_2,standardized_mean,18.0,5.0,4.0,9.0,0.4759507518325662,0.0468953104689531,10000.0,0.1677907245131041,-0.3652765423654788,0.0124660071699806,0.4528747800428414,0.1641335866413358,GSE244832: normal→MASL→MASH,0.1641335866413358,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_3,singscore,18.0,5.0,4.0,9.0,0.4344173135830262,0.070992900709929,10000.0,0.0169363933358912,0.5726920155480371,-0.0079096570673424,0.0399590759536347,0.1242375762423757,GSE244832: normal→MASL→MASH,0.1242375762423757,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_3,standardized_mean,18.0,5.0,4.0,9.0,0.0942921300800367,0.7075292470752925,10000.0,0.0361412427955846,-0.0555430797080125,-0.1082585818725206,0.1931902382981814,0.9671032896710328,GSE244832: normal→MASL→MASH,0.9671032896710328,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_4,singscore,18.0,5.0,4.0,9.0,0.1751139558629253,0.4703529647035296,10000.0,0.0137374324771721,0.5422957932999515,-0.0182056467867794,0.0425743330056902,0.5487451254874512,GSE244832: normal→MASL→MASH,0.5487451254874512,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_4,standardized_mean,18.0,5.0,4.0,9.0,0.051636166472401,0.8316168383161684,10000.0,0.0117434093289612,-0.0636514279623969,-0.1887795358790664,0.2418749025161037,0.9671032896710328,GSE244832: normal→MASL→MASH,0.9671032896710328,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_5,singscore,18.0,5.0,4.0,9.0,0.5230968168725846,0.0286971302869713,10000.0,0.0452376129444115,0.4817324690630526,0.003972620187586,0.0723527118935376,0.0669599706695997,GSE244832: normal→MASL→MASH,0.0669599706695997,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_5,standardized_mean,18.0,5.0,4.0,9.0,0.3951289260496776,0.1012898710128987,10000.0,0.1844260848030328,-0.2864115276961256,-0.0631073512923378,0.4764630722520705,0.2363430323634303,GSE244832: normal→MASL→MASH,0.2363430323634303,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,18.0,5.0,4.0,9.0,0.5691203565545073,0.0162983701629837,10000.0,0.0815555882497181,0.4596528492962579,0.0160226938355157,0.1368817738217841,0.0570442955704429,GSE244832: normal→MASL→MASH,0.0570442955704429,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,18.0,5.0,4.0,9.0,0.5679978311964116,0.0175982401759824,10000.0,0.3411782775737947,-0.5344920476998081,0.0931285536140247,0.6113568422877623,0.1231876812318768,GSE244832: normal→MASL→MASH,0.1231876812318768,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_7_SAENDO2,singscore,18.0,5.0,4.0,9.0,0.3861487231849122,0.1120887911208879,10000.0,0.0413931914466082,0.3183398918267217,-0.0081947119007352,0.0951944942145717,0.156924307569243,GSE244832: normal→MASL→MASH,0.156924307569243,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,18.0,5.0,4.0,9.0,0.1998095137410301,0.4268573142685731,10000.0,0.2718301188919541,-0.4781853380637655,-0.2387828621938623,0.573981216132045,0.7470002999700031,GSE244832: normal→MASL→MASH,0.7470002999700031,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,17.0,4.0,4.0,9.0,0.5897333430810272,0.0157984201579842,10000.0,0.087059373562795,0.1263921038522811,0.0377519634921321,0.1333532583424594,0.0473952604739526,GSE244832: normal→MASL→MASH,0.0473952604739526,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,17.0,4.0,4.0,9.0,0.5614584567689231,0.020997900209979,10000.0,0.2689985017840354,-0.622322209069994,0.0473698511959447,0.4358025380407464,0.062993700629937,GSE244832: normal→MASL→MASH,0.062993700629937,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,17.0,4.0,4.0,9.0,0.5008694146715573,0.0438956104389561,10000.0,0.03262944571559,0.4412016056551945,-0.0002795562477845,0.0591445185861356,0.0877912208779122,GSE244832: normal→MASL→MASH,0.0877912208779122,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,17.0,4.0,4.0,9.0,0.4510517578359455,0.0702929707029297,10000.0,0.1153482401232652,-0.1719257954530742,-0.030534825784681,0.2273889491357268,0.1405859414058594,GSE244832: normal→MASL→MASH,0.1405859414058594,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,17.0,4.0,4.0,9.0,0.0592426189396465,0.8192180781921807,10000.0,0.0011945221541642,0.7712803632146912,-0.0278453966600407,0.0186561869852228,0.8673132686731325,GSE244832: normal→MASL→MASH,0.8673132686731325,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,17.0,4.0,4.0,9.0,-0.0578961957819273,0.8227177282271773,10000.0,-0.0166733629801611,0.1451548893351452,-0.1442472794386481,0.1426827022491656,0.8227177282271773,GSE244832: normal→MASL→MASH,0.8227177282271773,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,17.0,4.0,4.0,9.0,0.0457783873624541,0.8673132686731326,10000.0,0.0008647039897038,0.2068124724374725,-0.0184110652860653,0.0270711833211832,0.8673132686731325,GSE244832: normal→MASL→MASH,0.8673132686731325,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,17.0,4.0,4.0,9.0,-0.1521458168222741,0.561043895610439,10000.0,-0.0198830676770916,0.0472261919475173,-0.1310838236696835,0.1253796861215008,0.6732526747325268,GSE244832: normal→MASL→MASH,0.6732526747325268,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,17.0,4.0,4.0,9.0,0.6031975746582197,0.011998800119988,10000.0,0.0300105747923736,0.4583156113532438,0.0054850544757775,0.0551921964448414,0.0473952604739526,GSE244832: normal→MASL→MASH,0.0473952604739526,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,17.0,4.0,4.0,9.0,0.5749226883461156,0.0160983901609839,10000.0,0.1500276225664845,-0.2903375630209487,0.0250096287098723,0.2825052338393345,0.062993700629937,GSE244832: normal→MASL→MASH,0.062993700629937,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,17.0,4.0,4.0,9.0,0.3635342525841948,0.1503849615038496,10000.0,0.0203542225919293,0.3162699983895944,-0.0060868480733859,0.0461624826397086,0.2255774422557744,GSE244832: normal→MASL→MASH,0.2255774422557744,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,17.0,4.0,4.0,9.0,0.2652453620706903,0.3123687631236876,10000.0,0.0410469935882429,-0.0423957009927105,-0.0585727915906788,0.1682083447090757,0.4685531446855314,GSE244832: normal→MASL→MASH,0.4685531446855314,,,,,,,
