lineage,program_id,score_method,n_control_donors,n_case_donors,states,reconstructed_total_difference,abundance_component,intensity_component,identity_error,abundance_share,intensity_share,total_bootstrap_low,total_bootstrap_high,abundance_bootstrap_low,abundance_bootstrap_high,intensity_bootstrap_low,intensity_bootstrap_high,bootstrap_iterations,dataset_id,contrast,program,method,order
endothelial,RAM2019_ENDO_2,singscore,4,4,12,-0.024237885408637,-0.0051950703266554,-0.0190428150819815,-3.4694469519536136e-17,0.2143367805841779,0.7856632194158206,-0.0931237787674415,0.0488817916826619,-0.0169421718866643,0.006227975097183,-0.0888849906333797,0.0503937688237784,10000,GSE202379,clinical_cirrhosis_vs_healthy,Endo2,Rank,0
endothelial,RAM2019_ENDO_2,standardized_mean,4,4,12,-0.1922252237979036,-0.0528822941959968,-0.1393429296019068,0.0,0.2751059052041719,0.7248940947958281,-0.5373574746276428,0.2679977304796298,-0.1374336872123503,0.0392097804607938,-0.4895174685411795,0.2704814002941705,10000,GSE202379,clinical_cirrhosis_vs_healthy,Endo2,z-mean,1
endothelial,RAM2019_ENDO_2,singscore,5,9,5,0.1051061384861936,0.0068635168241571,0.0982426216620364,1.3877787807814457e-17,0.0653008180398395,0.9346991819601604,0.051897339143281,0.1642206515784683,0.0026690159285057,0.013254566469102,0.0471265578583369,0.1545921814803408,10000,GSE244832,mash_f2f4_group_vs_normal_sensitivity,Endo2,Rank,2
endothelial,RAM2019_ENDO_2,standardized_mean,5,9,5,0.2174090060855242,0.0087368125044823,0.2086721935810419,0.0,0.0401860652499624,0.9598139347500374,0.0647405528498546,0.3995540234716915,-0.017601822251228,0.046192688232438,0.0510269848370352,0.3815074886624044,10000,GSE244832,mash_f2f4_group_vs_normal_sensitivity,Endo2,z-mean,3
endothelial,RAM2019_ENDO_2,singscore,6,4,5,0.1572722293048618,0.0249456972700408,0.1323265320348209,-2.775557561562892e-17,0.1586147623156362,0.8413852376843639,0.076775026046482,0.2425589908178156,0.0022254706247919,0.0546302379991317,0.0622586649762983,0.1968981128985867,10000,GSE256398_human,mash_cirrhosis_vs_healthy,Endo2,Rank,4
endothelial,RAM2019_ENDO_2,standardized_mean,6,4,5,0.3587064437750662,-0.0348623474352448,0.393568791210311,0.0,-0.0971890749113665,1.0971890749113666,0.0909293923182799,0.6035339171133296,-0.1189862402711965,0.0474750759848051,0.1199926494314762,0.6453866054110431,10000,GSE256398_human,mash_cirrhosis_vs_healthy,Endo2,z-mean,5
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,4,4,12,0.0193416051230412,-0.0016483726443356,0.0209899777673769,1.3877787807814457e-17,-0.0852241907457805,1.0852241907457798,-0.0723327676755486,0.1216132194884813,-0.0159014601716284,0.0146787111543448,-0.0652257195405772,0.1154709793253333,10000,GSE202379,clinical_cirrhosis_vs_healthy,SAEndo1,Rank,6
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,4,4,12,-0.1300944036537374,-0.0378731926777831,-0.0922212109759543,2.775557561562892e-17,0.2911208446643668,0.7088791553356334,-0.5969164653629722,0.4108929748123109,-0.1600368488661372,0.0927354996978761,-0.5086493865046787,0.3958818534330505,10000,GSE202379,clinical_cirrhosis_vs_healthy,SAEndo1,z-mean,7
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,5,9,5,0.1536912245851115,0.0112101830709768,0.1424810415141347,2.775557561562892e-17,0.0729396431139034,0.9270603568860964,0.070211594530403,0.2411233799186925,0.0012450648341315,0.0232953704741564,0.0638879312284199,0.2262098382544709,10000,GSE244832,mash_f2f4_group_vs_normal_sensitivity,SAEndo1,Rank,8
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,5,9,5,0.4171514415871645,0.0380955157687132,0.3790559258184512,1.1102230246251563e-16,0.0913229872196261,0.9086770127803736,0.0715345026001519,0.771032678800546,-0.0088021320041296,0.0972583909004359,0.0516012579711169,0.7172465277776344,10000,GSE244832,mash_f2f4_group_vs_normal_sensitivity,SAEndo1,z-mean,9
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,6,4,5,0.2012004689126059,0.1028719688066593,0.0983285001059467,-1.52655665885959e-16,0.511290899880274,0.4887091001197268,0.1495679937065269,0.2517606997663238,0.0804811656975655,0.1324804944960101,0.0487453069148067,0.1504037754845109,10000,GSE256398_human,mash_cirrhosis_vs_healthy,SAEndo1,Rank,10
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,6,4,5,0.6517386880444992,0.2814950611437641,0.370243626900735,5.551115123125783e-17,0.4319139960654665,0.5680860039345333,0.4287996215893593,0.874598021854756,0.1945551108991214,0.3953390105515555,0.1712210131378663,0.5673890401310153,10000,GSE256398_human,mash_cirrhosis_vs_healthy,SAEndo1,z-mean,11
