dataset_id,contrast,lineage,source_state,program_id,score_method,cell_gate,analysis_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,effect_status,above_random_95th_percentile
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_2,singscore,30,primary,3,3,0.2890367222420073,0.2016450082277729,-0.0873917140142343,0.0838970173158532,-0.8333236800085458,0.7999999999999994,-2.4013236800085447,0.7346763199914529,ESTIMATED,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_2,standardized_mean,30,primary,3,3,-0.0122740680726572,-0.3593986523932777,-0.3471245843206205,0.4886304461889498,-0.5683224809718712,0.7999999999999994,-2.13632248097187,0.9996775190281276,ESTIMATED,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,3,3,0.4191221706584164,0.4357461638306573,0.0166239931722408,0.0767580396471178,0.1732612583507013,0.7999999999999996,-1.3947387416492978,1.7412612583507006,ESTIMATED,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,3,3,-0.0220051656126657,-0.1981720081147807,-0.1761668425021149,0.4237139797482186,-0.3326146427489556,0.7999999999999995,-1.9006146427489543,1.2353853572510434,ESTIMATED,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_2,singscore,30,primary,4,3,0.2809269767143843,0.2786145453515938,-0.0023124313627905,0.0479907876264377,-0.0405767589491389,0.7952176120190494,-1.5992032785064758,1.5180497606081975,ESTIMATED,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_2,standardized_mean,30,primary,4,3,0.0061358298766433,0.0113975326599018,0.0052617027832585,0.2219612783641108,0.0199625251738097,0.9056921868364096,-1.755194161025553,1.7951192113731729,ESTIMATED,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,4,3,0.3972935669707153,0.4301372664070695,0.0328436994363542,0.080056665466807,0.3454784432458946,0.8241240733418694,-1.2698047405041697,1.960761626995959,ESTIMATED,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,4,3,0.0226095153829467,0.0480618128123901,0.0254522974294434,0.3218069899483441,0.0666036297975843,0.8136985317879933,-1.528245492506883,1.6614527521020512,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_2,singscore,30,primary,3,6,0.2674260180466554,0.3526926259679218,0.0852666079212663,0.0510001876750818,1.4861227738479543,0.7435649025178472,0.0287355649129739,2.943509982782935,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_2,standardized_mean,30,primary,3,6,-0.306788334013151,-0.072932260619168,0.2338560733939829,0.1555214595508129,1.3366133898144057,0.6363556200003377,0.0893563746137435,2.583870405015068,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,3,6,0.4076604466022592,0.4839415469242967,0.0762811003220374,0.087499828626519,0.7749206321065587,0.6012383313270302,-0.4035064972944204,1.9533477615075376,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,3,6,-0.2194143975407505,-0.1444035594312896,0.0750108381094608,0.447559587514333,0.1489774823326909,0.8366274115197799,-1.4908122442460776,1.7887672089114597,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_2,RAM2019_ENDO_2,singscore,30,primary,5,9,0.2620447338516516,0.35909767293427,0.0970529390826183,0.0644008124239886,1.410821808153038,0.4611902671323376,0.5068888845736566,2.31475473173242,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_2,RAM2019_ENDO_2,standardized_mean,30,primary,5,9,-0.1891978933059927,0.0087978741323514,0.1979957674383441,0.1471129216926102,1.2599691284550472,0.559992455604256,0.1623839154707054,2.357554341439389,ESTIMATED,True
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_2,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,5,9,0.4436258643519199,0.5943727216255537,0.1507468572736337,0.1008264309535201,1.399679787462814,0.4759463260206979,0.466824988462246,2.3325345864633817,ESTIMATED,True
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_2,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,5,9,-0.263639931849733,0.1203852535424258,0.3840251853921588,0.3804368598940426,0.9450002810353164,0.511449676356088,-0.0574410846226157,1.9474416466932487,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_8,RAM2019_ENDO_2,singscore,30,primary,5,9,0.2803722711434201,0.3961900553571209,0.1158177842137007,0.0751259292216723,1.4432455054165698,0.4862146939728912,0.4902647052297031,2.3962263056034363,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_8,RAM2019_ENDO_2,standardized_mean,30,primary,5,9,-0.276987515404709,0.0348889906245978,0.3118765060293069,0.2327413179530135,1.2544807152166393,0.5513588347986242,0.1738173990113358,2.335144031421943,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_8,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,5,9,0.6065273895345985,0.7292334172483503,0.1227060277137518,0.1115508082354977,1.0297883976773676,0.4952150629302422,0.0591668743340928,2.0004099210206423,ESTIMATED,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_8,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,5,9,0.2657190779636532,0.7547937279301825,0.4890746499665293,0.3902171730046508,1.17333923464241,0.5133711412296417,0.1671317978323123,2.179546671452508,ESTIMATED,False
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,cluster_38,RAM2019_ENDO_2,singscore,30,primary,5,4,0.3788340159059131,0.5712006534376085,0.1923666375316953,0.0869746103616374,1.966005550169862,0.7231416412140532,0.5486479333903178,3.3833631669494064,ESTIMATED,True
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,cluster_38,RAM2019_ENDO_2,standardized_mean,30,primary,5,4,-0.1202231442676908,0.4435781930715052,0.5638013373391961,0.292144079924839,1.7154437783933263,0.7479759114911135,0.2494109918707439,3.1814765649159087,ESTIMATED,True
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,cluster_38,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,5,4,0.4935249209689614,0.6241806508331283,0.1306557298641669,0.0626358768605936,1.854183774011996,0.7390602796608271,0.4056256258767752,3.3027419221472174,ESTIMATED,True
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,cluster_38,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,5,4,-0.4122669905169763,-0.1576783658334179,0.2545886246835584,0.2584502186562912,0.875607693022201,0.7230661368008888,-0.5416019351075412,2.292817321151943,ESTIMATED,False
