contrast,lineage,donors_30
alcohol_cirrhosis_vs_healthy,endothelial,4
alcohol_cirrhosis_vs_healthy,macrophage_monocyte,4
alcohol_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,4
mash_cirrhosis_vs_healthy,endothelial,4
mash_cirrhosis_vs_healthy,macrophage_monocyte,4
mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,4
mash_cirrhosis_vs_masld_f0,endothelial,3
mash_cirrhosis_vs_masld_f0,macrophage_monocyte,3
mash_cirrhosis_vs_masld_f0,mesenchymal_hsc_myofibroblast,3
mash_fibrosis_vs_masld_f0,endothelial,3
mash_fibrosis_vs_masld_f0,macrophage_monocyte,3
mash_fibrosis_vs_masld_f0,mesenchymal_hsc_myofibroblast,3
mash_vs_alcohol_cirrhosis_etiology,endothelial,4
mash_vs_alcohol_cirrhosis_etiology,macrophage_monocyte,4
mash_vs_alcohol_cirrhosis_etiology,mesenchymal_hsc_myofibroblast,4
