program_id,lineage,frozen_equal_weight_total,rank_median,rank_ci95_low,rank_ci95_high,top_one_probability,top_three_probability,top_five_probability,score_median,score_ci95_low,score_ci95_high,dirichlet_alpha_each_domain,weight_draws
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,64.63426607756504,1.0,1.0,6.0,0.66432,0.8375,0.95354,66.77804854548688,31.59458463554163,87.09439660730847,1.0,100000
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,63.18181818181817,2.0,2.0,10.0,0.0,0.7056,0.78488,65.37024619202947,30.98699053667268,85.24018286656224,1.0,100000
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,57.538461538461526,4.0,3.0,8.0,0.0,0.39399,0.65172,58.36336685672234,26.39719541096967,83.92896900608453,1.0,100000
RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,56.9481981981982,5.0,3.0,10.0,0.0,0.12586,0.74885,57.87352625034282,25.03266922143324,83.80800669647041,1.0,100000
RAM2019_ENDO_6_SAENDO1,endothelial,56.0,5.0,1.0,7.0,0.2184,0.41491,0.65256,57.119310248096426,17.9980549057692,88.31406066698825,1.0,100000
RAM2019_ENDO_5,endothelial,54.6,6.0,2.0,8.0,0.0,0.25289,0.3902,55.719252737809086,17.538825361615235,85.97035588675142,1.0,100000
RAM2019_ENDO_2,endothelial,52.77777777777778,8.0,1.0,13.0,0.11728,0.21335,0.30137,53.77917468830415,23.417779535374983,76.34830844951051,1.0,100000
RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,53.17857142857143,8.0,3.0,9.0,0.0,0.05353,0.20034,54.18009119537503,17.072365441433515,84.42687257569037,1.0,100000
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,50.842627013630725,9.0,4.0,15.0,0.0,0.0,0.29279,50.35505758045595,22.28403182046412,80.72530559710445,1.0,100000
RAM2019_ENDO_4,endothelial,50.18181818181818,9.0,6.0,11.0,0.0,0.0,0.01066,50.70168769947738,15.891358499015446,82.3856011288007,1.0,100000
