lineage,context_left,context_right,shared_pathways,spearman_rho_nes,sign_agreement_nes,median_absolute_nes_difference
endothelial,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE244832::mash_f2f4_group_vs_normal_sensitivity,1311,0.3044351470952954,0.5491990846681922,0.736954702200485
endothelial,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE256398_human::alcohol_cirrhosis_vs_healthy,1315,-0.1771136032636805,0.4395437262357414,1.745570693063032
endothelial,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE256398_human::mash_cirrhosis_vs_healthy,1317,0.05852440610389,0.4912680334092635,1.4703907667016036
endothelial,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE256398_human::mash_fibrosis_vs_masld_f0,1307,0.1237424986682378,0.5355776587605203,0.7160689594916152
endothelial,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::alcohol_cirrhosis_vs_healthy,1324,0.1129829142564405,0.5641993957703928,0.7806520320893138
endothelial,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::mash_cirrhosis_vs_healthy,1334,0.3717298284991588,0.5502248875562219,0.8648608601657878
endothelial,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::mash_fibrosis_vs_masld_f0,1322,-0.061513682517219,0.3698940998487141,1.921234466499892
endothelial,GSE256398_human::alcohol_cirrhosis_vs_healthy,GSE256398_human::mash_cirrhosis_vs_healthy,1338,0.6309872649065779,0.7301943198804185,0.3130592686770538
endothelial,GSE256398_human::alcohol_cirrhosis_vs_healthy,GSE256398_human::mash_fibrosis_vs_masld_f0,1326,0.1597754515513814,0.5625942684766214,0.7333582660677322
endothelial,GSE256398_human::mash_cirrhosis_vs_healthy,GSE256398_human::mash_fibrosis_vs_masld_f0,1330,0.0469579888499572,0.5488721804511278,0.7804858982450227
macrophage_monocyte,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::alcohol_cirrhosis_vs_healthy,1304,0.1658399375875974,0.5460122699386503,0.7795398544451027
macrophage_monocyte,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::mash_cirrhosis_vs_healthy,1298,0.2469812183032632,0.5893682588597843,0.6709690765286088
macrophage_monocyte,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::mash_fibrosis_vs_masld_f0,1298,0.0489834247288479,0.4992295839753466,1.3764268575890586
macrophage_monocyte,GSE256398_human::alcohol_cirrhosis_vs_healthy,GSE256398_human::mash_cirrhosis_vs_healthy,1326,0.7850609304796698,0.7865761689291101,0.29343546758894
macrophage_monocyte,GSE256398_human::alcohol_cirrhosis_vs_healthy,GSE256398_human::mash_fibrosis_vs_masld_f0,1312,0.3674832985954135,0.5739329268292683,0.7732797484510052
macrophage_monocyte,GSE256398_human::mash_cirrhosis_vs_healthy,GSE256398_human::mash_fibrosis_vs_masld_f0,1312,0.4364029835604197,0.6349085365853658,0.6063395568662098
mesenchymal_hsc_myofibroblast,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE244832::mash_f2f4_group_vs_normal_sensitivity,1303,0.0388855675533716,0.5548733691481197,0.851096966036778
mesenchymal_hsc_myofibroblast,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE256398_human::alcohol_cirrhosis_vs_healthy,1313,-0.473913436170981,0.3366336633663366,2.053757821011513
mesenchymal_hsc_myofibroblast,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE256398_human::mash_cirrhosis_vs_healthy,1308,-0.4183155165666274,0.3402140672782874,2.0505156101734947
mesenchymal_hsc_myofibroblast,GSE202379::advanced_f3f4_vs_f0_non_end_stage,GSE256398_human::mash_fibrosis_vs_masld_f0,1306,0.077277682643933,0.5344563552833078,0.8785683588361244
mesenchymal_hsc_myofibroblast,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::alcohol_cirrhosis_vs_healthy,1327,-0.0257382616295783,0.4973624717407686,1.309888384352494
mesenchymal_hsc_myofibroblast,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::mash_cirrhosis_vs_healthy,1324,0.1733749459607448,0.5324773413897281,0.7689175740206973
mesenchymal_hsc_myofibroblast,GSE244832::mash_f2f4_group_vs_normal_sensitivity,GSE256398_human::mash_fibrosis_vs_masld_f0,1316,0.0041361831421231,0.4597264437689969,1.6081106875395943
mesenchymal_hsc_myofibroblast,GSE256398_human::alcohol_cirrhosis_vs_healthy,GSE256398_human::mash_cirrhosis_vs_healthy,1342,0.648774900960573,0.7473919523099851,0.338429254784634
mesenchymal_hsc_myofibroblast,GSE256398_human::alcohol_cirrhosis_vs_healthy,GSE256398_human::mash_fibrosis_vs_masld_f0,1329,0.2522370349978423,0.5711060948081265,0.8090295227817701
mesenchymal_hsc_myofibroblast,GSE256398_human::mash_cirrhosis_vs_healthy,GSE256398_human::mash_fibrosis_vs_masld_f0,1325,0.1282500804413611,0.5781132075471698,0.7276977252186159
