cell_gate,coverage_threshold,random_percentile_threshold,evaluable_program_contexts,dual_score_positive_random_contexts,dual_score_positive_ci_random_contexts,programs_with_any_dual_positive_random_context
20,0.6,0.9,232,44,14,13
20,0.6,0.95,232,31,10,11
20,0.6,0.99,232,19,7,9
20,0.8,0.9,223,39,14,13
20,0.8,0.95,223,26,10,11
20,0.8,0.99,223,15,7,8
20,0.9,0.9,176,34,12,11
20,0.9,0.95,176,21,8,9
20,0.9,0.99,176,11,6,6
30,0.6,0.9,163,27,11,11
30,0.6,0.95,163,19,7,9
30,0.6,0.99,163,8,4,5
30,0.8,0.9,160,27,11,11
30,0.8,0.95,160,19,7,9
30,0.8,0.99,160,8,4,5
30,0.9,0.9,127,24,9,10
30,0.9,0.95,127,16,5,8
30,0.9,0.99,127,6,3,4
