dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability,context
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_1,4,4,9998,0.3749749949989998,-0.199900114867474,-1.6319913484119537,1.6566280600057883,6.0,1.0,6.0,0.48499699939988,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_2,4,4,9998,0.7749549909981996,0.4350438629476524,-0.8536971247875735,2.8974324597624173,3.0,1.0,5.0,1.0,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_3,4,4,9998,0.665133026605321,0.2585735489614932,-2.1391976241305417,1.572943537778689,4.0,2.0,6.0,0.9300860172034406,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_4,4,4,9998,0.907381476295259,0.7579122638008448,-0.9249719383961988,6.20155253908758,1.0,1.0,4.0,0.9996999399879976,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_5,4,4,9998,0.4455891178235647,-0.079941825029944,-2.299714993519649,2.2047116321111524,5.0,3.0,6.0,0.5867173434686938,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,4,4,9998,0.8979795959191839,0.7674924209278251,-0.5837089355237568,2.5645959338001982,2.0,1.0,4.0,0.998499699939988,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_1,4,4,9999,0.2128212821282128,-0.4928861757975237,-2.0979473596468843,1.0999757093413467,6.0,1.0,6.0,0.4122412241224122,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_2,4,4,9999,0.718971897189719,0.3481608302685756,-1.0260892288054737,4.156238406932302,3.0,1.0,5.0,0.998999899989999,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_3,4,4,9999,0.3131313131313131,-0.2952088246110653,-3.098418316207232,1.104123224231926,5.0,4.0,6.0,0.6864686468646864,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_4,4,4,9999,0.8805880588058805,0.712304987816672,-0.7633872879935384,7.025785216560524,1.0,1.0,3.0,1.0,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_5,4,4,9999,0.83008300830083,0.5484772219232894,-1.041197802339615,3.0013513779525245,2.0,1.0,6.0,0.97019701970197,202:Cirrhosis
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,4,4,9999,0.6518651865186519,0.2329076687747747,-1.290078014634766,1.7905825672060536,4.0,1.0,6.0,0.932093209320932,202:Cirrhosis
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_1,5,15,10000,0.4829,-0.0222603038382938,-0.9513557476140636,1.1209584827141728,5.0,3.0,6.0,0.6376,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_2,5,15,10000,0.9613,0.858468054685855,-0.08298259047018,1.991173932875611,2.0,1.0,3.0,1.0,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_3,5,15,10000,0.4771,-0.0185012718259525,-0.7596977073190547,0.678147377417973,5.0,3.0,6.0,0.6079,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_4,5,15,10000,0.9071,0.4515374677593641,-0.2423968582324735,1.2067564811419604,3.0,1.0,5.0,0.9988,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_5,5,15,10000,0.5249,0.0279288466231046,-0.8137704812935215,0.9777154210759732,5.0,3.0,6.0,0.7652,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,5,15,10000,0.907,0.7922887914474198,-0.4306794761740539,2.201012659726128,2.0,1.0,5.0,0.9905,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,standardized_mean,RAM2019_ENDO_1,5,15,10000,0.5738,0.0776240641203055,-0.7370199177279054,1.1550098900698,5.0,2.0,6.0,0.6107,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,standardized_mean,RAM2019_ENDO_2,5,15,10000,0.9801,0.7979788224573687,0.0339530772297475,1.839192445542668,1.0,1.0,4.0,0.9973,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,standardized_mean,RAM2019_ENDO_3,5,15,10000,0.5962,0.0785025068240371,-0.597195004018952,0.7595858816781694,5.0,3.0,6.0,0.645,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,standardized_mean,RAM2019_ENDO_4,5,15,10000,0.9354,0.5274820266760207,-0.17443427728735,1.295066939361761,3.0,1.0,5.0,0.995,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,standardized_mean,RAM2019_ENDO_5,5,15,10000,0.7986,0.3917288702517531,-0.5874571640204196,1.4372929969669104,3.0,1.0,6.0,0.9098,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,5,15,10000,0.7712,0.4195206446947033,-0.6844209862018408,1.7606360596421629,3.0,1.0,6.0,0.8422,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,3,7,10000,0.4392,-0.0616963616158089,-1.167065835781984,0.9317484625549342,5.0,2.0,6.0,0.622,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,3,7,10000,0.9865,1.6958365949879308,0.2699139652123172,5.346772135896387,1.0,1.0,2.0,1.0,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,3,7,10000,0.9199,1.0155608626814523,-0.4946535284466454,3.454120549760547,2.0,2.0,3.0,1.0,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,3,7,10000,0.4524,-0.0741796691751011,-2.744414446519306,2.214426759043212,5.0,3.0,6.0,0.6559,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,3,7,10000,0.4631,-0.0549251331751036,-1.8014373105715566,1.7135038229001838,5.0,3.0,6.0,0.7425,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,3,7,10000,0.7503,0.4822832482811118,-1.4632634644256235,2.9449199918271867,3.0,2.0,5.0,0.9796,202:F3-4
